Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
,,Conflits sur les limites de terre,%,28%,41%,16%,3%,17%,4%,4%,3%,25%,3%,20%,16%,,,,,,,,,
,,Conflits sur la propriété des terres,%,14%,25%,12%,4%,4%,2%,4%,2%,6%,2%,13%,10%,,,,,,,,,
,,Conflit sur l'argent,%,19%,26%,32%,28%,39%,10%,21%,12%,14%,0%,17%,20%,,,,,,,,,
,,Vols,%,49%,18%,36%,39%,5%,25%,38%,63%,32%,16%,57%,39%,,,,,,,,,
,,Conflits ethniques,%,4%,1%,8%,1%,3%,19%,15%,2%,9%,6%,4%,8%,,,,,,,,,
,,Conflits religieux,%,2%,1%,5%,1%,0%,1%,5%,0%,2%,1%,1%,2%,,,,,,,,,
,,Violences physiques,%,10%,1%,19%,25%,8%,16%,38%,15%,4%,9%,13%,16%,,,,,,,,,
,,Violences sexuelles,%,3%,3%,2%,5%,0%,0%,7%,14%,2%,0%,4%,4%,,,,,,,,,
,,"Sorcellerie, charlatanisme",%,19%,26%,36%,45%,10%,9%,37%,46%,14%,4%,12%,22%,,,,,,,,,
,,Violence domestique,%,7%,2%,13%,20%,5%,1%,29%,11%,5%,1%,8%,10%,,,,,,,,,
,,Différends dans la communauté (entre voisins…),%,41%,3%,47%,13%,27%,24%,37%,33%,29%,47%,32%,31%,,,,,,,,,
,,"Jalousie, haine, calomnie",%,44%,5%,40%,62%,33%,27%,37%,18%,24%,29%,38%,35%,,,,,,,,,
,,Autre,%,5%,0%,0%,0%,2%,1%,1%,3%,5%,6%,5%,3%,,,,,,,,,
,"En général, personne qui résout ces conflits  (% répondants - réponses multiples)",Personne,%,5%,3%,0%,0%,1%,3%,0%,2%,1%,1%,9%,3%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,5%,0%,2%,0%,1%,0%,1%,2%,1%,0%,9%,3%,,,,,,,,,
,,"Population elle-même, les familles",%,38%,24%,19%,19%,14%,17%,32%,18%,8%,2%,45%,26%,,,,,,,,,
,,Autorités villageoises,%,26%,71%,39%,52%,82%,64%,92%,38%,85%,51%,17%,52%,,,,,,,,,
,,Chef coutumier,%,53%,36%,79%,76%,92%,57%,19%,77%,45%,72%,37%,53%,,,,,,,,,
,,Police,%,26%,5%,33%,26%,13%,13%,9%,7%,15%,2%,40%,20%,,,,,,,,,
,,Chefs religieux,%,6%,7%,29%,11%,8%,14%,42%,5%,2%,3%,7%,14%,,,,,,,,,
,,Militaires,%,2%,0%,14%,0%,0%,0%,0%,1%,0%,0%,4%,3%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,0%,0%,1%,13%,0%,1%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,12%,0%,11%,1%,0%,2%,7%,16%,1%,0%,14%,7%,,,,,,,,,
,,ONGs,%,1%,0%,11%,1%,0%,0%,10%,0%,0%,0%,1%,3%,,,,,,,,,
,,Mairie,%,11%,5%,17%,22%,16%,39%,47%,32%,4%,9%,1%,19%,,,,,,,,,
,,Associations,%,0%,1%,14%,0%,7%,0%,5%,1%,0%,0%,1%,3%,,,,,,,,,
,,Gendarmerie,%,28%,16%,57%,41%,30%,11%,55%,27%,20%,3%,21%,27%,,,,,,,,,
,,Autre,%,5%,0%,0%,0%,7%,0%,0%,0%,3%,0%,2%,2%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes financières (% répondants - réponses multiples),Personne,%,5%,6%,0%,0%,0%,2%,1%,1%,0%,0%,7%,3%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,7%,0%,12%,0%,0%,0%,2%,1%,0%,0%,7%,4%,,,,,,,,,
,,"Population elle-même, les familles",%,30%,17%,10%,1%,21%,13%,17%,19%,13%,2%,36%,20%,,,,,,,,,
,,Autorités villageoises,%,24%,68%,36%,48%,88%,67%,89%,32%,85%,50%,18%,52%,,,,,,,,,
,,Chef coutumier,%,41%,32%,56%,82%,93%,59%,17%,77%,47%,73%,28%,49%,,,,,,,,,
,,Police,%,24%,5%,30%,25%,16%,13%,14%,9%,15%,2%,45%,21%,,,,,,,,,
,,Chefs religieux,%,4%,5%,15%,1%,9%,15%,23%,3%,0%,4%,5%,9%,,,,,,,,,
,,Militaires,%,2%,1%,12%,0%,0%,0%,0%,0%,0%,0%,3%,2%,,,,,,,,,
,,Groupes armés,%,0%,0%,1%,0%,0%,0%,1%,12%,0%,0%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,8%,0%,5%,1%,0%,2%,5%,12%,0%,0%,12%,5%,,,,,,,,,
,,ONGs,%,1%,0%,9%,0%,0%,0%,1%,0%,0%,0%,0%,1%,,,,,,,,,
,,Mairie,%,10%,4%,8%,18%,13%,37%,38%,24%,2%,8%,1%,15%,,,,,,,,,
,,Associations,%,0%,1%,10%,0%,6%,0%,1%,0%,0%,0%,2%,2%,,,,,,,,,
,,Gendarmerie,%,19%,16%,55%,45%,33%,11%,49%,23%,18%,3%,22%,26%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes liées aux terres/ foncières (% répondants - réponses multiples),Personne,%,4%,5%,0%,0%,1%,0%,1%,1%,0%,0%,8%,3%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,2%,0%,0%,0%,0%,0%,1%,0%,0%,0%,3%,1%,,,,,,,,,
,,"Population elle-même, les familles",%,21%,18%,8%,1%,26%,12%,15%,10%,8%,1%,26%,16%,,,,,,,,,
,,Autorités villageoises,%,29%,70%,34%,49%,87%,61%,90%,36%,85%,50%,19%,51%,,,,,,,,,
,,Chef coutumier,%,50%,36%,70%,81%,87%,54%,25%,80%,48%,72%,39%,54%,,,,,,,,,
,,Police,%,18%,5%,17%,12%,9%,10%,11%,2%,15%,3%,36%,16%,,,,,,,,,
,,Chefs religieux,%,3%,4%,13%,0%,3%,10%,4%,1%,0%,3%,6%,5%,,,,,,,,,
,,Militaires,%,1%,0%,10%,0%,0%,0%,0%,0%,0%,0%,3%,2%,,,,,,,,,
,,Groupes armés,%,0%,0%,1%,0%,0%,0%,1%,10%,0%,0%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,17%,0%,8%,4%,0%,15%,2%,22%,0%,0%,21%,10%,,,,,,,,,
,,ONGs,%,0%,0%,7%,0%,0%,0%,1%,1%,0%,0%,0%,1%,,,,,,,,,
,,Mairie,%,22%,9%,45%,37%,44%,65%,55%,51%,9%,9%,7%,31%,,,,,,,,,
,,Associations,%,1%,0%,10%,0%,1%,0%,1%,1%,0%,0%,2%,2%,,,,,,,,,
,,Gendarmerie,%,18%,16%,34%,31%,18%,11%,33%,17%,19%,3%,21%,20%,,,,,,,,,
,,Autre,%,3%,0%,1%,0%,7%,0%,0%,1%,0%,0%,3%,1%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes autour de vols (% répondants - réponses multiples),Personne,%,2%,4%,0%,0%,0%,1%,1%,0%,0%,0%,5%,2%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,0%,1%,0%,0%,0%,1%,2%,0%,0%,2%,1%,,,,,,,,,
,,"Population elle-même, les familles",%,26%,14%,30%,0%,18%,25%,13%,11%,13%,1%,29%,21%,,,,,,,,,
,,Autorités villageoises,%,25%,62%,35%,49%,75%,69%,92%,27%,85%,50%,15%,50%,,,,,,,,,
,,Chef coutumier,%,41%,24%,51%,81%,94%,57%,19%,71%,46%,73%,27%,47%,,,,,,,,,
,,Police,%,36%,8%,30%,29%,23%,13%,20%,18%,14%,2%,59%,27%,,,,,,,,,
,,Chefs religieux,%,4%,2%,12%,1%,4%,6%,12%,2%,0%,3%,5%,6%,,,,,,,,,
,,Militaires,%,4%,0%,15%,0%,0%,0%,0%,0%,0%,0%,8%,4%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Système judiciaire national (formel),%,9%,0%,5%,1%,0%,2%,8%,13%,0%,0%,14%,6%,,,,,,,,,
,,ONGs,%,0%,0%,3%,0%,0%,0%,1%,0%,0%,0%,0%,1%,,,,,,,,,
,,Mairie,%,7%,10%,1%,17%,1%,38%,38%,25%,2%,9%,0%,14%,,,,,,,,,
,,Associations,%,0%,0%,4%,0%,2%,0%,1%,0%,0%,0%,1%,1%,,,,,,,,,
,,Gendarmerie,%,38%,37%,59%,44%,68%,13%,65%,45%,20%,3%,33%,36%,,,,,,,,,
,,Autre,%,2%,0%,0%,0%,3%,1%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes autour de violences physiques (% répondants - réponses multiples),Personne,%,4%,4%,0%,0%,2%,1%,0%,0%,0%,0%,5%,2%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,3%,0%,9%,0%,0%,0%,0%,2%,0%,0%,5%,3%,,,,,,,,,
,,"Population elle-même, les familles",%,34%,19%,35%,2%,8%,37%,19%,21%,20%,2%,34%,26%,,,,,,,,,
,,Autorités villageoises,%,24%,57%,32%,49%,71%,78%,90%,31%,84%,50%,17%,51%,,,,,,,,,
,,Chef coutumier,%,40%,26%,50%,82%,91%,58%,18%,73%,47%,73%,26%,47%,,,,,,,,,
,,Police,%,31%,10%,32%,27%,28%,12%,16%,10%,15%,2%,53%,25%,,,,,,,,,
,,Chefs religieux,%,5%,2%,18%,2%,1%,7%,36%,12%,1%,3%,6%,10%,,,,,,,,,
,,Militaires,%,4%,0%,11%,0%,0%,0%,0%,0%,0%,0%,7%,3%,,,,,,,,,
,,Groupes armés,%,1%,0%,0%,0%,0%,0%,1%,13%,0%,0%,2%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,9%,2%,5%,4%,0%,0%,26%,11%,0%,0%,15%,8%,,,,,,,,,
,,ONGs,%,0%,0%,9%,0%,0%,0%,2%,0%,0%,0%,0%,1%,,,,,,,,,
,,Mairie,%,6%,11%,3%,18%,2%,30%,23%,22%,2%,9%,0%,12%,,,,,,,,,
,,Associations,%,1%,0%,6%,0%,1%,0%,1%,0%,0%,0%,2%,2%,,,,,,,,,
,,Gendarmerie,%,33%,43%,59%,47%,77%,10%,64%,27%,16%,3%,32%,35%,,,,,,,,,
,,Autre,%,1%,0%,0%,0%,3%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les accusations de sorcellerie (% répondants - réponses multiples),Personne,%,6%,8%,0%,0%,0%,0%,0%,0%,0%,0%,8%,3%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,0%,0%,0%,0%,0%,0%,2%,0%,0%,2%,1%,,,,,,,,,
,,"Population elle-même, les familles",%,17%,18%,5%,0%,10%,5%,7%,5%,13%,1%,23%,12%,,,,,,,,,
,,Autorités villageoises,%,30%,61%,31%,47%,83%,58%,87%,19%,82%,51%,19%,49%,,,,,,,,,
,,Chef coutumier,%,51%,29%,85%,81%,91%,34%,24%,75%,35%,74%,33%,50%,,,,,,,,,
,,Police,%,27%,8%,17%,29%,11%,9%,13%,12%,23%,2%,45%,21%,,,,,,,,,
,,Chefs religieux,%,7%,6%,25%,1%,1%,2%,7%,3%,0%,2%,7%,7%,,,,,,,,,
,,Militaires,%,2%,0%,12%,0%,0%,0%,0%,0%,0%,0%,4%,2%,,,,,,,,,
,,Groupes armés,%,0%,0%,3%,0%,0%,0%,1%,13%,0%,0%,1%,2%,,,,,,,,,
,,Système judiciaire national (formel),%,21%,5%,12%,14%,0%,52%,34%,32%,0%,0%,31%,22%,,,,,,,,,
,,ONGs,%,0%,0%,2%,0%,0%,1%,0%,1%,0%,0%,1%,1%,,,,,,,,,
,,Mairie,%,13%,15%,15%,26%,47%,80%,21%,55%,14%,9%,0%,25%,,,,,,,,,
,,Associations,%,1%,0%,5%,1%,0%,1%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,,Gendarmerie,%,38%,49%,41%,49%,41%,26%,68%,53%,54%,3%,32%,39%,,,,,,,,,
,,Autre,%,2%,0%,0%,0%,5%,0%,0%,2%,0%,0%,3%,1%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les violences sexuelles domestiques (% répondants - réponses multiples),Personne,%,4%,3%,0%,0%,8%,1%,0%,1%,0%,0%,6%,2%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,0%,2%,0%,0%,0%,1%,1%,0%,0%,2%,1%,,,,,,,,,
,,"Population elle-même, les familles",%,24%,20%,24%,12%,8%,19%,7%,16%,11%,1%,27%,18%,,,,,,,,,
,,Autorités villageoises,%,27%,62%,37%,51%,75%,53%,84%,32%,80%,51%,18%,49%,,,,,,,,,
,,Chef coutumier,%,45%,31%,49%,75%,81%,29%,15%,74%,31%,72%,27%,42%,,,,,,,,,
,,Police,%,31%,16%,21%,22%,15%,10%,18%,7%,23%,3%,48%,23%,,,,,,,,,
,,Chefs religieux,%,6%,5%,19%,7%,4%,7%,37%,15%,1%,3%,8%,11%,,,,,,,,,
,,Militaires,%,3%,0%,13%,0%,0%,1%,0%,0%,0%,0%,6%,3%,,,,,,,,,
,,Groupes armés,%,1%,0%,0%,0%,0%,0%,1%,11%,0%,0%,2%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,23%,5%,11%,8%,0%,38%,25%,13%,3%,0%,34%,19%,,,,,,,,,
,,ONGs,%,5%,0%,29%,9%,0%,29%,15%,1%,6%,0%,5%,11%,,,,,,,,,
,,Mairie,%,13%,15%,8%,21%,23%,68%,26%,29%,13%,10%,1%,21%,,,,,,,,,
,,Associations,%,3%,1%,23%,0%,4%,0%,2%,1%,1%,0%,5%,4%,,,,,,,,,
,,Gendarmerie,%,44%,55%,46%,43%,38%,16%,69%,25%,53%,3%,35%,38%,,,,,,,,,
,,Autre,%,2%,0%,0%,5%,9%,0%,1%,0%,2%,0%,2%,2%,,,,,,,,,
,Présence d'un différend/ dispute dans les 12 derniers mois par le répondant ou dans le ménage,Oui,%,23%,18%,39%,35%,22%,9%,71%,18%,11%,4%,28%,28%,,,,,,,,,
,Type de différends/ disputes dans les 12 derniers mois,"Questions d’autorités, de pouvoir",%,9%,5%,3%,4%,19%,0%,4%,0%,7%,10%,3%,4%,,,,,,,,,
,,Disputes domestiques,%,63%,72%,35%,59%,83%,45%,88%,75%,96%,40%,63%,66%,,,,,,,,,
,,Conflits sur les limites des terres,%,12%,46%,10%,0%,17%,10%,11%,5%,0%,0%,19%,13%,,,,,,,,,
,,Conflits sur la propriété des terres,%,8%,21%,15%,0%,25%,0%,9%,0%,4%,10%,9%,10%,,,,,,,,,
,,Conflits sur l’argent / paiement,%,26%,21%,34%,18%,75%,65%,40%,55%,7%,20%,22%,33%,,,,,,,,,
,,Conflits ethniques,%,7%,0%,11%,1%,17%,0%,12%,12%,0%,0%,6%,8%,,,,,,,,,
,,Sorcellerie,%,6%,3%,14%,17%,6%,50%,30%,44%,4%,10%,10%,18%,,,,,,,,,
,,Autre,%,9%,0%,4%,9%,4%,0%,1%,8%,8%,10%,10%,5%,,,,,,,,,
,Confits ont impliqués des membres d’une autre ethnie,Oui,%,48%,21%,52%,15%,23%,45%,42%,77%,14%,40%,48%,42%,,,,,,,,,
,Confits ont impliqués des membres d’une autre religion,Oui,%,38%,8%,20%,22%,2%,40%,27%,63%,0%,10%,31%,26%,,,,,,,,,
,"En général, personne qui a résolu ces conflits  (% répondants - réponses multiples)",Personne,%,5%,0%,0%,5%,0%,0%,1%,5%,11%,0%,9%,4%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,6%,0%,1%,5%,0%,0%,1%,2%,0%,0%,10%,3%,,,,,,,,,
,,"Population elle-même, les familles",%,39%,28%,4%,39%,13%,5%,54%,17%,26%,0%,45%,36%,,,,,,,,,
,,Autorités villageoises,%,26%,67%,33%,21%,87%,75%,61%,29%,48%,60%,11%,41%,,,,,,,,,
,,Chef coutumier,%,27%,38%,45%,48%,98%,50%,13%,91%,26%,50%,25%,33%,,,,,,,,,
,,Police,%,11%,5%,9%,9%,19%,30%,5%,3%,0%,0%,24%,11%,,,,,,,,,
,,Chefs religieux,%,4%,15%,12%,28%,13%,10%,39%,32%,15%,0%,9%,20%,,,,,,,,,
,,Militaires,%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,1%,0%,0%,2%,10%,0%,0%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,6%,0%,9%,1%,0%,5%,2%,2%,0%,0%,14%,6%,,,,,,,,,
,,ONGs,%,1%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,1%,,,,,,,,,
,,Mairie,%,8%,3%,3%,8%,17%,55%,22%,8%,0%,0%,0%,12%,,,,,,,,,
,,Associations,%,0%,0%,2%,0%,4%,0%,4%,3%,0%,0%,1%,2%,,,,,,,,,
,,Gendarmerie,%,17%,26%,34%,19%,23%,25%,23%,15%,7%,0%,10%,19%,,,,,,,,,
,,Autre,%,12%,0%,1%,5%,8%,0%,1%,0%,15%,10%,11%,5%,,,,,,,,,
,Satisfaction sur la résolution,Non,%,15%,36%,24%,8%,13%,50%,14%,21%,51%,0%,15%,20%,,,,,,,,,
,,Oui,%,85%,64%,76%,92%,87%,50%,86%,79%,49%,100%,85%,80%,,,,,,,,,
,"Si non, pourquoi?",N'ont rien fait,%,21%,50%,28%,0%,50%,40%,38%,50%,15%,0%,32%,30%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,26%,36%,6%,43%,17%,70%,24%,20%,0%,0%,29%,25%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,14%,29%,0%,14%,0%,20%,19%,10%,0%,0%,7%,12%,,,,,,,,,
,,"M'ont mal traite (insulte,…)",%,11%,14%,24%,29%,50%,10%,48%,20%,71%,0%,12%,28%,,,,,,,,,
,,Trop lent,%,27%,0%,12%,0%,50%,0%,10%,50%,0%,0%,29%,14%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,22%,7%,26%,14%,67%,10%,14%,40%,28%,0%,25%,20%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,15%,0%,8%,0%,17%,20%,24%,0%,15%,0%,10%,15%,,,,,,,,,
,,Autre,%,14%,0%,0%,14%,0%,0%,5%,10%,15%,0%,6%,5%,,,,,,,,,
,Possession de terres agricoles (répondant ou ménage),Oui,%,69%,90%,67%,91%,91%,65%,99%,93%,92%,95%,50%,77%,,,,,,,,,
,Possession de documents de propriété formels / titre foncier,Oui,%,49%,2%,11%,5%,11%,8%,0%,10%,16%,2%,74%,19%,,,,,,,,,
,Possession d'une habitation (répondant ou ménage),Oui,%,75%,87%,86%,91%,92%,67%,94%,74%,87%,88%,68%,80%,,,,,,,,,
,Possession de documents de propriété formels,Oui,%,66%,5%,15%,10%,17%,10%,3%,14%,15%,2%,84%,27%,,,,,,,,,
SECURITE,Sentiment de sécurité (% en sécurité),En général dans le quartier/ village,%,58%,64%,40%,61%,3%,55%,34%,69%,40%,52%,51%,47%,,,,,,,,,
,,Marcher seul pendant le jour dans votre quartier/ village,%,69%,63%,68%,89%,3%,51%,48%,79%,45%,68%,65%,59%,,,,,,,,,
,,Marcher seul pendant la nuit dans votre quartier/ village,%,48%,37%,30%,64%,1%,46%,21%,45%,35%,46%,37%,37%,,,,,,,,,
,,Rencontrer des gens que vous ne connaissez pas,%,29%,54%,31%,67%,0%,46%,21%,53%,18%,25%,35%,34%,,,,,,,,,
,,Rencontrer des gens d'un autre groupe ethnique,%,39%,39%,88%,68%,4%,50%,27%,82%,19%,44%,43%,45%,,,,,,,,,
,,Rencontrer des gens d'un autre groupe religieux,%,46%,71%,75%,74%,5%,60%,40%,94%,24%,59%,51%,53%,,,,,,,,,
,,Rencontrer des soldats (FACA),%,87%,77%,99%,99%,97%,90%,77%,99%,60%,92%,74%,84%,,,,,,,,,
,,Rencontrer des soldats (MINUSCA),%,67%,69%,94%,97%,94%,81%,70%,100%,56%,94%,65%,76%,,,,,,,,,
,,Rencontrer des groupes armés,%,11%,9%,5%,6%,3%,16%,0%,5%,15%,2%,9%,8%,,,,,,,,,
,,Rencontrer des policiers ,%,81%,73%,95%,100%,95%,83%,89%,100%,59%,92%,72%,81%,,,,,,,,,
,,Rencontrer des gendarmes,%,85%,76%,97%,100%,95%,84%,90%,100%,61%,94%,76%,84%,,,,,,,,,
,,Parler ouvertement de votre expérience durant les conflits,%,49%,42%,49%,83%,15%,57%,30%,66%,48%,41%,52%,49%,,,,,,,,,
,,"Vous plaindre auprès des autorités quand vous êtes la victime d'un crime, d'une aggression ou d'un délit",%,53%,42%,85%,74%,21%,50%,26%,59%,54%,53%,54%,52%,,,,,,,,,
,Amélioration de la sécurité dans le quartier/ village au cours des 12 derniers mois,Un peu et beaucoup améliorée,%,88%,83%,48%,98%,78%,94%,56%,80%,73%,97%,88%,79%,,,,,,,,,
,Perception de la sécurité dans le futur (% répondants),Plus en sécurité,%,79%,64%,26%,95%,80%,51%,65%,22%,32%,41%,75%,59%,,,,,,,,,
,,Moins en sécurité,%,13%,18%,49%,5%,10%,43%,19%,48%,43%,50%,16%,28%,,,,,,,,,
,,La même chose,%,7%,18%,25%,0%,10%,6%,16%,30%,24%,10%,9%,13%,,,,,,,,,
,Participé à un dialogue sur la sécurité entre la communauté et les forces de l’ordre dans les 12 derniers mois (% répondants),Oui,%,27%,13%,26%,9%,15%,26%,52%,36%,18%,6%,22%,24%,,,,,,,,,
,Participé à un dialogue concernant la sécurité avec les autorités administratives (% répondants),Oui,%,29%,12%,23%,9%,12%,29%,74%,26%,19%,7%,22%,27%,,,,,,,,,
,Cause principale d’insécurité (% répondants),Aucun problème de sécurité,%,8%,14%,0%,36%,46%,0%,4%,6%,3%,16%,10%,9%,,,,,,,,,
,,L’absence de passants,%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,,,,,,,,,
,,"La peur d’être volé, agressé(e)s physiquement",%,8%,6%,4%,8%,4%,0%,15%,1%,0%,0%,12%,7%,,,,,,,,,
,,"Le manque de propreté, endroits insalubres",%,2%,1%,1%,2%,0%,0%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,,Le manque d’éclairage,%,12%,0%,1%,2%,0%,0%,0%,2%,0%,1%,13%,4%,,,,,,,,,
,,Le manque de présence policière centrafricaine,%,2%,5%,0%,0%,3%,3%,1%,0%,0%,0%,4%,2%,,,,,,,,,
,,Les trafiquants de drogue / les drogués,%,2%,3%,0%,0%,1%,1%,0%,0%,1%,1%,2%,1%,,,,,,,,,
,,Les trafiquants armes et autres marchandises,%,0%,3%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,La présence de mendiants ou vendeur à la sauvette,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,La présence de personnes ivres,%,1%,19%,0%,1%,1%,0%,1%,1%,2%,3%,1%,2%,,,,,,,,,
,,Les groupes de jeunes ou d’autres bandes agressives (clans),%,2%,1%,2%,0%,2%,0%,3%,1%,2%,3%,3%,2%,,,,,,,,,
,,La présence de violeurs,%,1%,2%,0%,0%,0%,1%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,La présence de check points sur les routes,%,1%,0%,0%,0%,0%,3%,0%,1%,0%,0%,1%,1%,,,,,,,,,
,,"La présence de bandits, criminels, voleurs",%,3%,0%,6%,0%,0%,10%,1%,3%,0%,0%,7%,4%,,,,,,,,,
,,"La présence de groupes armés (anti-Balaka, ex-Seleka, LRA)",%,2%,0%,13%,2%,0%,35%,16%,15%,32%,20%,2%,14%,,,,,,,,,
,,La présence des policiers/ gendarmes,%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,,,,,,,,,
,,La présence des FACA,%,0%,1%,0%,0%,1%,0%,0%,0%,3%,0%,0%,0%,,,,,,,,,
,,La présence de la MINUSCA,%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,,,,,,,,,
,,Le manque de présence de gendarmerie nationale,%,3%,2%,0%,6%,8%,1%,0%,3%,0%,0%,2%,2%,,,,,,,,,
,,Présence des musulmans,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,3%,1%,0%,,,,,,,,,
,,Présence  des Peuls,%,4%,1%,8%,2%,0%,3%,26%,20%,22%,2%,0%,7%,,,,,,,,,
,,Manque de présence des FACA,%,8%,6%,1%,12%,28%,4%,5%,2%,4%,3%,3%,5%,,,,,,,,,
,,Sorcellerie,%,3%,2%,5%,4%,0%,3%,0%,2%,2%,0%,2%,2%,,,,,,,,,
,,"Rumeurs (attaques, groupes armés…)",%,4%,0%,32%,0%,0%,0%,13%,3%,3%,10%,2%,6%,,,,,,,,,
,,"Circulation d'armes, absence de DDR",%,5%,0%,17%,8%,1%,19%,7%,22%,14%,0%,9%,10%,,,,,,,,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",%,27%,32%,8%,15%,2%,14%,5%,13%,7%,38%,20%,16%,,,,,,,,,
,,Autre,%,1%,0%,0%,1%,0%,1%,0%,3%,2%,1%,3%,1%,,,,,,,,,
,Autres causes d’insécurité (% répondants - réponses multiples),Aucun problème de sécurité,%,4%,11%,0%,5%,41%,0%,0%,5%,4%,26%,7%,6%,,,,,,,,,
,,Absence de passants,%,4%,0%,3%,0%,0%,1%,3%,0%,0%,0%,3%,2%,,,,,,,,,
,,"La peur d’être volé, agressé(e)s physiquement",%,26%,18%,26%,26%,8%,2%,49%,4%,2%,6%,31%,22%,,,,,,,,,
,,"Le manque de propreté, endroits insalubres",%,17%,4%,22%,6%,0%,1%,1%,0%,0%,0%,14%,8%,,,,,,,,,
,,Le manque d’éclairage,%,47%,6%,25%,18%,1%,1%,6%,3%,2%,12%,46%,20%,,,,,,,,,
,,Le manque de présence policière centrafricaine,%,14%,19%,12%,10%,39%,11%,8%,1%,8%,10%,16%,14%,,,,,,,,,
,,Les trafiquants de drogue / les drogués,%,10%,5%,1%,1%,3%,2%,0%,0%,4%,2%,14%,5%,,,,,,,,,
,,Les trafiquants armes et autres marchandises,%,6%,7%,3%,2%,0%,0%,1%,0%,2%,1%,5%,3%,,,,,,,,,
,,La présence de mendiants ou vendeur à la sauvette,%,1%,4%,1%,0%,0%,0%,0%,0%,0%,2%,2%,1%,,,,,,,,,
,,La présence de personnes ivres,%,3%,27%,9%,3%,0%,0%,10%,3%,4%,6%,5%,6%,,,,,,,,,
,,Les groupes de jeunes ou d’autres bandes agressives (clans),%,13%,1%,6%,0%,1%,0%,12%,4%,1%,8%,14%,8%,,,,,,,,,
,,La présence de violeurs,%,4%,4%,2%,0%,4%,2%,3%,1%,2%,0%,6%,3%,,,,,,,,,
,,La présence de check points sur les routes,%,2%,0%,8%,2%,0%,18%,4%,2%,0%,3%,5%,6%,,,,,,,,,
,,"La présence de bandits, criminels, voleurs",%,15%,0%,25%,3%,4%,33%,7%,6%,5%,1%,20%,15%,,,,,,,,,
,,"La présence de groupes armés (anti-Balaka, ex-Seleka, LRA)",%,9%,1%,27%,5%,1%,31%,54%,22%,46%,21%,7%,23%,,,,,,,,,
,,La présence des policiers/ gendarmes,%,0%,1%,1%,0%,4%,0%,0%,0%,2%,0%,1%,1%,,,,,,,,,
,,La présence des FACA,%,0%,1%,0%,0%,0%,0%,0%,0%,4%,0%,1%,1%,,,,,,,,,
,,La présence de la MINUSCA,%,0%,0%,1%,0%,0%,0%,0%,0%,23%,0%,2%,2%,,,,,,,,,
,,Le manque de présence de gendarmerie nationale,%,10%,14%,15%,24%,38%,38%,5%,20%,15%,15%,11%,18%,,,,,,,,,
