Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
,,Cinq fois par semaine,%,1%,1%,1%,1%,3%,2%,1%,1%,2%,0%,3%,3%,1%,,,,,,,,,
CONFLITS ET DISPUTES,Niveau de conflits dans ce quartier/ village (% répondants),Jamais,%,17%,12%,7%,11%,36%,19%,34%,3%,9%,18%,13%,2%,14%,,,,,,,,,
,,Rarement,%,47%,54%,48%,52%,33%,38%,29%,51%,41%,42%,43%,51%,44%,,,,,,,,,
,,Parfois,%,11%,23%,38%,32%,13%,21%,36%,41%,31%,15%,27%,35%,29%,,,,,,,,,
,,Souvent,%,17%,9%,5%,3%,12%,17%,1%,5%,14%,19%,14%,10%,10%,,,,,,,,,
,,Tout le temps,%,8%,3%,1%,1%,6%,5%,0%,0%,4%,5%,3%,1%,3%,,,,,,,,,
,Principaux types de différends/ disputes (% répondants - réponses multiples),Aucun conflit,%,5%,3%,11%,15%,30%,5%,32%,9%,9%,2%,7%,6%,10%,,,,,,,,,
,,"Questions d’autorités, de pouvoir",%,15%,7%,6%,10%,4%,4%,5%,5%,5%,6%,9%,3%,6%,,,,,,,,,
,,Dispute domestiques/ différends familiaux,%,70%,60%,52%,50%,38%,62%,16%,58%,52%,75%,65%,52%,54%,,,,,,,,,
,,Conflits sur les limites de terre,%,38%,37%,34%,34%,8%,25%,9%,21%,21%,26%,25%,19%,24%,,,,,,,,,
,,Conflits sur la propriété des terres,%,20%,17%,22%,15%,5%,20%,7%,11%,12%,21%,16%,11%,14%,,,,,,,,,
,,Conflit sur l'argent,%,16%,27%,22%,18%,8%,15%,6%,16%,18%,21%,21%,23%,18%,,,,,,,,,
,,Vols,%,73%,66%,44%,42%,46%,72%,44%,43%,59%,77%,60%,54%,57%,,,,,,,,,
,,Conflits ethniques,%,8%,4%,1%,0%,3%,5%,1%,4%,4%,5%,3%,3%,4%,,,,,,,,,
,,Conflits religieux,%,4%,2%,1%,0%,4%,2%,0%,1%,2%,2%,2%,0%,1%,,,,,,,,,
,,Violences physiques,%,17%,16%,7%,10%,14%,14%,4%,14%,12%,20%,10%,15%,13%,,,,,,,,,
,,Violences sexuelles,%,6%,6%,4%,2%,6%,7%,6%,2%,2%,5%,3%,5%,4%,,,,,,,,,
,,"Sorcellerie, charlatanisme",%,18%,15%,9%,8%,2%,12%,3%,14%,9%,24%,18%,10%,12%,,,,,,,,,
,,Violence domestique,%,11%,10%,5%,2%,7%,9%,6%,3%,10%,14%,12%,5%,8%,,,,,,,,,
,,Différends dans la communauté (entre voisins…),%,46%,47%,33%,38%,17%,26%,17%,36%,30%,44%,44%,37%,34%,,,,,,,,,
,,"Jalousie, haine, calomnie",%,50%,48%,38%,38%,21%,42%,13%,38%,40%,48%,46%,45%,39%,,,,,,,,,
,,Autre,%,5%,4%,2%,0%,7%,11%,9%,3%,5%,6%,3%,2%,5%,,,,,,,,,
,"En général, personne qui résout ces conflits  (% répondants - réponses multiples)",Personne,%,5%,5%,4%,6%,19%,7%,15%,10%,10%,2%,5%,6%,8%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,0%,3%,11%,7%,1%,1%,4%,14%,14%,3%,8%,12%,8%,,,,,,,,,
,,"Population elle-même, les familles",%,45%,45%,37%,36%,29%,47%,55%,42%,39%,48%,41%,47%,44%,,,,,,,,,
,,Autorités villageoises,%,0%,14%,20%,24%,1%,1%,45%,17%,17%,1%,10%,20%,16%,,,,,,,,,
,,Chef coutumier,%,53%,53%,52%,51%,26%,44%,1%,46%,36%,50%,52%,42%,40%,,,,,,,,,
,,Police,%,36%,39%,44%,26%,43%,45%,8%,34%,50%,50%,41%,56%,39%,,,,,,,,,
,,Chefs religieux,%,10%,12%,3%,3%,14%,12%,8%,3%,4%,13%,8%,5%,7%,,,,,,,,,
,,Militaires,%,3%,4%,2%,2%,14%,8%,0%,4%,4%,8%,5%,1%,4%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,13%,13%,15%,13%,11%,13%,1%,15%,19%,12%,15%,21%,14%,,,,,,,,,
,,ONGs,%,2%,0%,0%,1%,1%,3%,0%,2%,0%,2%,0%,1%,1%,,,,,,,,,
,,Mairie,%,0%,4%,3%,2%,0%,1%,0%,1%,2%,0%,0%,3%,2%,,,,,,,,,
,,Associations,%,0%,0%,0%,1%,0%,2%,0%,1%,2%,0%,2%,1%,1%,,,,,,,,,
,,Gendarmerie,%,41%,24%,20%,23%,39%,34%,5%,20%,20%,24%,30%,24%,23%,,,,,,,,,
,,Autre,%,3%,5%,0%,1%,2%,5%,1%,0%,4%,4%,2%,0%,2%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes financières (% répondants - réponses multiples),Personne,%,16%,7%,1%,3%,19%,13%,6%,5%,5%,13%,7%,2%,7%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,2%,6%,10%,12%,2%,1%,1%,10%,13%,0%,9%,15%,7%,,,,,,,,,
,,"Population elle-même, les familles",%,29%,31%,33%,34%,18%,25%,60%,35%,28%,33%,33%,36%,35%,,,,,,,,,
,,Autorités villageoises,%,0%,9%,21%,23%,1%,1%,55%,14%,15%,2%,9%,18%,17%,,,,,,,,,
,,Chef coutumier,%,31%,41%,49%,43%,19%,35%,1%,36%,32%,32%,36%,32%,31%,,,,,,,,,
,,Police,%,29%,40%,44%,31%,50%,46%,10%,49%,54%,52%,46%,60%,43%,,,,,,,,,
,,Chefs religieux,%,9%,7%,1%,2%,12%,8%,9%,1%,1%,9%,5%,5%,5%,,,,,,,,,
,,Militaires,%,3%,2%,2%,5%,11%,7%,0%,2%,3%,5%,5%,1%,3%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,2%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,13%,13%,10%,9%,14%,12%,1%,17%,15%,7%,9%,17%,11%,,,,,,,,,
,,ONGs,%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,,,,,,,,,
,,Mairie,%,0%,3%,0%,0%,2%,2%,0%,0%,1%,0%,0%,0%,1%,,,,,,,,,
,,Associations,%,0%,0%,1%,0%,2%,1%,0%,3%,5%,0%,0%,4%,2%,,,,,,,,,
,,Gendarmerie,%,26%,17%,17%,19%,47%,38%,6%,19%,17%,25%,31%,25%,21%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes liées aux terres/ foncières (% répondants - réponses multiples),Personne,%,12%,4%,4%,3%,22%,15%,5%,4%,11%,14%,4%,3%,8%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,3%,6%,4%,1%,1%,3%,5%,5%,1%,3%,5%,3%,,,,,,,,,
,,"Population elle-même, les familles",%,15%,19%,24%,23%,9%,9%,58%,23%,21%,15%,21%,28%,24%,,,,,,,,,
,,Autorités villageoises,%,1%,11%,17%,29%,1%,0%,55%,16%,18%,2%,10%,19%,18%,,,,,,,,,
,,Chef coutumier,%,47%,55%,53%,48%,29%,42%,0%,52%,45%,45%,53%,49%,42%,,,,,,,,,
,,Police,%,25%,31%,38%,19%,46%,44%,10%,33%,41%,43%,39%,44%,34%,,,,,,,,,
,,Chefs religieux,%,9%,7%,1%,1%,11%,8%,10%,1%,3%,10%,5%,4%,5%,,,,,,,,,
,,Militaires,%,6%,1%,0%,2%,10%,7%,1%,0%,3%,5%,3%,2%,3%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,0%,1%,1%,2%,3%,0%,0%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,22%,25%,23%,35%,19%,22%,3%,31%,25%,18%,23%,28%,22%,,,,,,,,,
,,ONGs,%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Mairie,%,1%,13%,13%,12%,5%,5%,0%,16%,5%,4%,9%,16%,8%,,,,,,,,,
,,Associations,%,0%,1%,1%,1%,1%,1%,0%,2%,4%,0%,1%,3%,2%,,,,,,,,,
,,Gendarmerie,%,36%,18%,16%,15%,42%,40%,6%,16%,16%,32%,24%,19%,21%,,,,,,,,,
,,Autre,%,3%,3%,6%,5%,3%,0%,0%,3%,7%,2%,3%,2%,3%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes autour de vols (% répondants - réponses multiples),Personne,%,7%,2%,1%,2%,12%,6%,5%,2%,5%,7%,5%,6%,5%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,1%,1%,1%,0%,2%,4%,3%,2%,0%,1%,2%,2%,,,,,,,,,
,,"Population elle-même, les familles",%,34%,27%,20%,20%,14%,29%,60%,20%,18%,33%,21%,23%,28%,,,,,,,,,
,,Autorités villageoises,%,0%,9%,14%,19%,0%,1%,55%,10%,10%,1%,9%,11%,14%,,,,,,,,,
,,Chef coutumier,%,35%,40%,40%,37%,22%,36%,0%,38%,29%,31%,37%,27%,30%,,,,,,,,,
,,Police,%,43%,59%,64%,43%,60%,64%,12%,67%,74%,64%,57%,73%,57%,,,,,,,,,
,,Chefs religieux,%,8%,7%,1%,3%,11%,9%,8%,0%,2%,10%,6%,4%,5%,,,,,,,,,
,,Militaires,%,4%,6%,5%,6%,18%,7%,0%,12%,8%,9%,8%,8%,7%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Système judiciaire national (formel),%,8%,14%,13%,12%,13%,11%,1%,23%,20%,6%,12%,19%,13%,,,,,,,,,
,,ONGs,%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,,,,,,,,,
,,Mairie,%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Associations,%,0%,0%,1%,0%,1%,0%,0%,1%,4%,0%,0%,0%,1%,,,,,,,,,
,,Gendarmerie,%,34%,26%,29%,45%,55%,45%,7%,41%,32%,29%,47%,41%,33%,,,,,,,,,
,,Autre,%,0%,2%,3%,3%,1%,0%,0%,3%,3%,0%,1%,4%,2%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les disputes autour de violences physiques (% répondants - réponses multiples),Personne,%,11%,6%,2%,3%,11%,8%,5%,1%,5%,10%,6%,2%,5%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,2%,4%,8%,5%,2%,2%,3%,9%,7%,1%,5%,6%,5%,,,,,,,,,
,,"Population elle-même, les familles",%,37%,33%,27%,31%,18%,33%,60%,29%,23%,36%,30%,30%,33%,,,,,,,,,
,,Autorités villageoises,%,0%,10%,15%,17%,2%,0%,55%,12%,15%,2%,10%,15%,15%,,,,,,,,,
,,Chef coutumier,%,34%,36%,39%,37%,19%,30%,3%,34%,31%,28%,36%,29%,29%,,,,,,,,,
,,Police,%,37%,50%,57%,38%,58%,56%,10%,59%,64%,55%,49%,73%,51%,,,,,,,,,
,,Chefs religieux,%,10%,8%,2%,2%,13%,10%,8%,3%,3%,10%,5%,5%,6%,,,,,,,,,
,,Militaires,%,3%,5%,3%,8%,16%,9%,0%,8%,8%,8%,8%,6%,6%,,,,,,,,,
,,Groupes armés,%,0%,0%,1%,0%,1%,0%,1%,2%,3%,1%,2%,5%,2%,,,,,,,,,
,,Système judiciaire national (formel),%,10%,11%,15%,10%,14%,16%,1%,23%,21%,11%,10%,22%,15%,,,,,,,,,
,,ONGs,%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,,,,,,,,,
,,Mairie,%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Associations,%,0%,0%,2%,2%,2%,1%,1%,1%,7%,0%,2%,0%,2%,,,,,,,,,
,,Gendarmerie,%,33%,22%,25%,40%,51%,44%,6%,40%,34%,29%,39%,39%,32%,,,,,,,,,
,,Autre,%,2%,2%,1%,3%,0%,0%,0%,0%,3%,0%,0%,1%,1%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les accusations de sorcellerie (% répondants - réponses multiples),Personne,%,14%,11%,6%,7%,20%,15%,4%,5%,8%,8%,9%,5%,8%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,1%,0%,0%,0%,0%,3%,1%,3%,0%,1%,2%,2%,,,,,,,,,
,,"Population elle-même, les familles",%,10%,16%,17%,21%,5%,10%,59%,14%,18%,17%,19%,24%,22%,,,,,,,,,
,,Autorités villageoises,%,2%,12%,18%,26%,3%,2%,55%,18%,15%,1%,12%,20%,18%,,,,,,,,,
,,Chef coutumier,%,45%,51%,46%,44%,24%,34%,2%,44%,36%,43%,41%,34%,36%,,,,,,,,,
,,Police,%,34%,43%,48%,26%,48%,49%,9%,43%,56%,52%,43%,61%,43%,,,,,,,,,
,,Chefs religieux,%,10%,10%,7%,10%,11%,9%,8%,8%,3%,9%,9%,9%,8%,,,,,,,,,
,,Militaires,%,3%,3%,0%,3%,11%,6%,2%,4%,5%,7%,3%,3%,4%,,,,,,,,,
,,Groupes armés,%,0%,0%,1%,0%,0%,0%,1%,1%,1%,2%,0%,1%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,24%,27%,28%,30%,33%,35%,5%,38%,38%,27%,35%,42%,30%,,,,,,,,,
,,ONGs,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,,,,,
,,Mairie,%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Associations,%,0%,1%,2%,0%,2%,0%,0%,2%,5%,0%,0%,6%,2%,,,,,,,,,
,,Gendarmerie,%,46%,26%,30%,30%,45%,42%,6%,36%,33%,33%,38%,39%,32%,,,,,,,,,
,,Autre,%,0%,3%,4%,4%,0%,0%,0%,5%,5%,1%,3%,3%,3%,,,,,,,,,
,Personnes vers qui les gens se tournent pour résoudre les violences sexuelles domestiques (% répondants - réponses multiples),Personne,%,9%,9%,4%,5%,17%,7%,3%,1%,11%,6%,4%,3%,6%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,1%,0%,3%,2%,1%,1%,3%,3%,4%,1%,1%,3%,2%,,,,,,,,,
,,"Population elle-même, les familles",%,23%,20%,20%,21%,16%,19%,60%,23%,15%,24%,23%,25%,26%,,,,,,,,,
,,Autorités villageoises,%,1%,10%,18%,20%,2%,3%,55%,15%,14%,3%,8%,17%,16%,,,,,,,,,
,,Chef coutumier,%,34%,43%,40%,39%,22%,30%,2%,38%,27%,33%,35%,29%,30%,,,,,,,,,
,,Police,%,42%,47%,56%,30%,55%,53%,9%,54%,57%,52%,49%,65%,47%,,,,,,,,,
,,Chefs religieux,%,10%,9%,3%,5%,16%,16%,7%,5%,4%,15%,10%,5%,8%,,,,,,,,,
,,Militaires,%,3%,3%,3%,4%,9%,7%,1%,6%,8%,5%,5%,6%,5%,,,,,,,,,
,,Groupes armés,%,0%,0%,2%,2%,1%,0%,1%,2%,5%,0%,2%,4%,2%,,,,,,,,,
,,Système judiciaire national (formel),%,21%,26%,31%,37%,26%,33%,5%,47%,39%,31%,40%,44%,32%,,,,,,,,,
,,ONGs,%,9%,7%,3%,3%,12%,10%,3%,4%,1%,8%,5%,6%,5%,,,,,,,,,
,,Mairie,%,1%,5%,4%,2%,0%,1%,0%,1%,0%,0%,1%,2%,1%,,,,,,,,,
,,Associations,%,5%,4%,4%,2%,2%,2%,2%,5%,9%,2%,7%,10%,5%,,,,,,,,,
,,Gendarmerie,%,47%,33%,35%,39%,46%,40%,6%,41%,38%,36%,45%,46%,36%,,,,,,,,,
,,Autre,%,0%,3%,3%,2%,0%,0%,0%,4%,3%,1%,3%,2%,2%,,,,,,,,,
,Présence d'un différend/ dispute dans les 12 derniers mois par le répondant ou dans le ménage,Oui,%,27%,25%,24%,20%,22%,28%,18%,27%,35%,27%,30%,33%,27%,,,,,,,,,
,Type de différends/ disputes dans les 12 derniers mois,"Questions d’autorités, de pouvoir",%,18%,7%,2%,0%,12%,5%,2%,0%,4%,7%,3%,3%,4%,,,,,,,,,
,,Disputes domestiques,%,82%,71%,44%,48%,88%,79%,23%,58%,69%,82%,52%,62%,63%,,,,,,,,,
,,Conflits sur les limites des terres,%,25%,9%,19%,14%,2%,18%,23%,20%,24%,7%,18%,16%,18%,,,,,,,,,
,,Conflits sur la propriété des terres,%,13%,7%,4%,5%,8%,11%,17%,5%,6%,8%,8%,11%,9%,,,,,,,,,
,,Conflits sur l’argent / paiement,%,17%,36%,24%,30%,16%,18%,20%,27%,22%,15%,29%,22%,23%,,,,,,,,,
,,Conflits ethniques,%,12%,4%,0%,2%,14%,8%,2%,3%,9%,8%,5%,3%,6%,,,,,,,,,
,,Sorcellerie,%,7%,2%,7%,7%,6%,5%,0%,5%,18%,13%,9%,8%,9%,,,,,,,,,
,,Autre,%,2%,9%,24%,18%,0%,2%,30%,15%,6%,2%,8%,14%,11%,,,,,,,,,
,Confits ont impliqués des membres d’une autre ethnie,Oui,%,52%,51%,39%,55%,43%,33%,67%,50%,53%,40%,43%,48%,49%,,,,,,,,,
,Confits ont impliqués des membres d’une autre religion,Oui,%,40%,31%,35%,25%,35%,25%,43%,33%,35%,27%,28%,26%,32%,,,,,,,,,
,"En général, personne qui a résolu ces conflits  (% répondants - réponses multiples)",Personne,%,8%,5%,4%,7%,18%,18%,2%,5%,10%,5%,8%,12%,8%,,,,,,,,,
,,Sans aide extérieur - avec l'autre partie,%,5%,9%,9%,18%,6%,2%,2%,22%,10%,0%,9%,19%,10%,,,,,,,,,
,,"Population elle-même, les familles",%,38%,40%,43%,48%,43%,46%,33%,35%,47%,57%,42%,53%,45%,,,,,,,,,
,,Autorités villageoises,%,0%,9%,15%,27%,0%,0%,23%,13%,13%,0%,9%,15%,11%,,,,,,,,,
,,Chef coutumier,%,27%,25%,35%,25%,4%,16%,0%,38%,32%,25%,28%,25%,26%,,,,,,,,,
,,Police,%,10%,20%,15%,16%,24%,23%,2%,20%,40%,12%,22%,25%,22%,,,,,,,,,
,,Chefs religieux,%,3%,2%,7%,0%,4%,13%,40%,3%,4%,5%,6%,5%,8%,,,,,,,,,
,,Militaires,%,0%,0%,0%,0%,2%,2%,0%,0%,3%,2%,0%,1%,1%,,,,,,,,,
,,Groupes armés,%,0%,0%,0%,0%,2%,2%,5%,0%,1%,0%,0%,0%,1%,,,,,,,,,
,,Système judiciaire national (formel),%,2%,9%,9%,7%,4%,18%,2%,18%,23%,5%,8%,12%,13%,,,,,,,,,
,,ONGs,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Mairie,%,0%,5%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,1%,,,,,,,,,
,,Associations,%,0%,0%,0%,0%,0%,3%,5%,0%,1%,0%,3%,0%,1%,,,,,,,,,
,,Gendarmerie,%,22%,9%,6%,18%,14%,23%,0%,12%,4%,5%,17%,15%,11%,,,,,,,,,
,,Autre,%,17%,15%,17%,2%,22%,16%,10%,7%,5%,23%,17%,5%,11%,,,,,,,,,
,Satisfaction sur la résolution,Non,%,13%,20%,17%,11%,6%,8%,7%,13%,22%,10%,22%,16%,15%,,,,,,,,,
,,Oui,%,87%,80%,83%,89%,94%,92%,90%,87%,78%,90%,78%,84%,85%,,,,,,,,,
,"Si non, pourquoi?",N'ont rien fait,%,50%,27%,0%,60%,33%,40%,0%,38%,41%,17%,14%,33%,32%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,25%,18%,11%,0%,67%,20%,33%,25%,24%,50%,21%,42%,26%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,13%,9%,11%,20%,0%,0%,33%,0%,0%,17%,7%,17%,8%,,,,,,,,,
,,"M'ont mal traite (insulte,…)",%,0%,18%,11%,0%,33%,0%,0%,25%,12%,17%,7%,8%,11%,,,,,,,,,
,,Trop lent,%,50%,18%,11%,20%,0%,40%,0%,50%,35%,33%,14%,8%,28%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,25%,18%,33%,20%,33%,20%,0%,25%,24%,33%,50%,17%,25%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,13%,9%,0%,0%,100%,20%,0%,12%,12%,0%,7%,8%,9%,,,,,,,,,
,,Autre,%,0%,18%,44%,20%,0%,20%,0%,12%,6%,0%,7%,0%,9%,,,,,,,,,
,Possession de terres agricoles (répondant ou ménage),Oui,%,52%,64%,54%,54%,53%,47%,34%,67%,48%,45%,53%,60%,52%,,,,,,,,,
,Possession de documents de propriété formels / titre foncier,Oui,%,82%,65%,69%,59%,85%,74%,89%,69%,74%,71%,63%,77%,72%,,,,,,,,,
,Possession d'une habitation (répondant ou ménage),Oui,%,70%,71%,63%,69%,75%,72%,61%,68%,65%,67%,70%,75%,68%,,,,,,,,,
,Possession de documents de propriété formels,Oui,%,92%,79%,80%,81%,91%,82%,96%,83%,78%,88%,79%,83%,84%,,,,,,,,,
SECURITE,Sentiment de sécurité (% en sécurité),En général dans le quartier/ village,%,65%,59%,59%,54%,74%,64%,34%,59%,41%,67%,66%,42%,53%,,,,,,,,,
,,Marcher seul pendant le jour dans votre quartier/ village,%,80%,69%,69%,63%,81%,80%,33%,67%,65%,80%,75%,65%,66%,,,,,,,,,
,,Marcher seul pendant la nuit dans votre quartier/ village,%,33%,41%,48%,46%,48%,31%,34%,55%,26%,34%,57%,30%,38%,,,,,,,,,
,,Rencontrer des gens que vous ne connaissez pas,%,38%,30%,40%,35%,48%,34%,30%,47%,28%,38%,45%,31%,36%,,,,,,,,,
,,Rencontrer des gens d'un autre groupe ethnique,%,50%,43%,50%,42%,54%,43%,34%,52%,34%,50%,58%,43%,44%,,,,,,,,,
,,Rencontrer des gens d'un autre groupe religieux,%,62%,48%,64%,52%,61%,59%,31%,56%,44%,64%,64%,56%,53%,,,,,,,,,
,,Rencontrer des soldats (FACA),%,87%,85%,83%,77%,84%,81%,41%,81%,77%,88%,83%,77%,76%,,,,,,,,,
,,Rencontrer des soldats (MINUSCA),%,76%,74%,72%,65%,79%,77%,54%,63%,61%,78%,74%,59%,67%,,,,,,,,,
,,Rencontrer des groupes armés,%,12%,17%,14%,9%,12%,13%,7%,5%,9%,10%,11%,8%,10%,,,,,,,,,
,,Rencontrer des policiers ,%,89%,79%,84%,73%,87%,87%,45%,68%,69%,91%,82%,70%,74%,,,,,,,,,
,,Rencontrer des gendarmes,%,90%,84%,83%,75%,92%,86%,51%,75%,74%,94%,86%,75%,78%,,,,,,,,,
,,Parler ouvertement de votre expérience durant les conflits,%,50%,48%,62%,55%,48%,45%,52%,56%,52%,50%,54%,56%,53%,,,,,,,,,
,,"Vous plaindre auprès des autorités quand vous êtes la victime d'un crime, d'une aggression ou d'un délit",%,63%,58%,61%,49%,59%,57%,50%,52%,50%,63%,60%,51%,55%,,,,,,,,,
,Amélioration de la sécurité dans le quartier/ village au cours des 12 derniers mois,Un peu et beaucoup améliorée,%,84%,92%,81%,86%,87%,84%,98%,96%,83%,81%,85%,86%,87%,,,,,,,,,
,Perception de la sécurité dans le futur (% répondants),Plus en sécurité,%,76%,83%,73%,79%,86%,80%,83%,75%,64%,84%,81%,69%,76%,,,,,,,,,
,,Moins en sécurité,%,16%,11%,14%,14%,10%,13%,5%,19%,24%,13%,12%,20%,15%,,,,,,,,,
,,La même chose,%,8%,6%,13%,7%,4%,6%,12%,7%,12%,4%,7%,10%,9%,,,,,,,,,
,Participé à un dialogue sur la sécurité entre la communauté et les forces de l’ordre dans les 12 derniers mois (% répondants),Oui,%,25%,22%,19%,24%,32%,24%,18%,19%,26%,25%,24%,16%,22%,,,,,,,,,
,Participé à un dialogue concernant la sécurité avec les autorités administratives (% répondants),Oui,%,31%,23%,18%,23%,32%,25%,17%,20%,26%,27%,24%,16%,23%,,,,,,,,,
,Cause principale d’insécurité (% répondants),Aucun problème de sécurité,%,9%,7%,10%,10%,20%,7%,7%,15%,8%,6%,16%,9%,10%,,,,,,,,,
,,L’absence de passants,%,2%,2%,2%,2%,4%,1%,0%,1%,0%,1%,2%,0%,1%,,,,,,,,,
,,"La peur d’être volé, agressé(e)s physiquement",%,20%,9%,9%,13%,14%,18%,2%,9%,12%,23%,12%,10%,12%,,,,,,,,,
,,"Le manque de propreté, endroits insalubres",%,5%,3%,2%,1%,3%,7%,2%,0%,0%,2%,2%,0%,2%,,,,,,,,,
,,Le manque d’éclairage,%,15%,13%,26%,15%,19%,23%,3%,14%,12%,22%,13%,12%,14%,,,,,,,,,
,,Le manque de présence policière centrafricaine,%,5%,1%,2%,2%,2%,4%,1%,6%,4%,1%,1%,8%,3%,,,,,,,,,
,,Les trafiquants de drogue / les drogués,%,0%,3%,2%,5%,0%,0%,1%,1%,5%,0%,2%,3%,2%,,,,,,,,,
,,Les trafiquants armes et autres marchandises,%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,,,,,,,,,
,,La présence de mendiants ou vendeur à la sauvette,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,La présence de personnes ivres,%,0%,1%,0%,0%,0%,0%,0%,1%,0%,1%,0%,2%,0%,,,,,,,,,
,,Les groupes de jeunes ou d’autres bandes agressives (clans),%,1%,3%,4%,5%,3%,0%,3%,3%,6%,1%,2%,5%,3%,,,,,,,,,
,,La présence de violeurs,%,0%,0%,0%,0%,0%,1%,1%,0%,1%,0%,0%,0%,1%,,,,,,,,,
,,La présence de check points sur les routes,%,0%,0%,0%,0%,1%,0%,2%,0%,0%,1%,0%,0%,1%,,,,,,,,,
,,"La présence de bandits, criminels, voleurs",%,5%,5%,2%,2%,6%,8%,9%,3%,6%,10%,3%,8%,6%,,,,,,,,,
,,"La présence de groupes armés (anti-Balaka, ex-Seleka, LRA)",%,0%,2%,4%,5%,2%,0%,2%,5%,3%,0%,1%,3%,2%,,,,,,,,,
,,La présence des policiers/ gendarmes,%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,,,,,,,,,
,,La présence des FACA,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,,,,,,,,,
,,La présence de la MINUSCA,%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Le manque de présence de gendarmerie nationale,%,1%,0%,10%,2%,2%,1%,3%,0%,3%,2%,4%,0%,2%,,,,,,,,,
,,Présence des musulmans,%,0%,0%,0%,0%,0%,0%,2%,0%,2%,1%,0%,0%,1%,,,,,,,,,
,,Présence  des Peuls,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Manque de présence des FACA,%,2%,8%,4%,8%,0%,1%,0%,5%,4%,1%,4%,8%,4%,,,,,,,,,
,,Sorcellerie,%,2%,2%,0%,1%,0%,1%,0%,3%,2%,3%,3%,1%,2%,,,,,,,,,
,,"Rumeurs (attaques, groupes armés…)",%,0%,2%,1%,1%,2%,1%,4%,0%,3%,1%,1%,0%,2%,,,,,,,,,
,,"Circulation d'armes, absence de DDR",%,3%,5%,3%,2%,4%,2%,32%,5%,8%,2%,2%,5%,7%,,,,,,,,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",%,29%,32%,19%,24%,15%,20%,21%,24%,14%,19%,29%,22%,21%,,,,,,,,,
,,Autre,%,1%,3%,0%,1%,0%,2%,3%,4%,5%,2%,2%,2%,3%,,,,,,,,,
