Catégories,Variables,Réponses,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Bamingui Bangoran,Vakaga,Bangui,Unit,Source,Source Link
,,Associations,0%,0%,2%,0%,0%,0%,0%,2%,0%,0%,0%,0%,%,,
,,Gendarmes,17%,10%,32%,20%,26%,2%,5%,11%,2%,0%,0%,4%,%,,
,,"Autre, spécifier",6%,0%,0%,2%,9%,2%,0%,2%,0%,5%,0%,7%,%,,
,Satisfaction sur la résolution,oui,79%,88%,70%,68%,91%,94%,78%,72%,80%,78%,86%,76%,%,,
,Acceptable d'utiliser la violence dans les situations suivantes (% oui):,Protéger la communauté,6%,3%,5%,5%,0%,41%,39%,1%,95%,5%,33%,6%,%,,
,,Rétablir la sécurité,17%,3%,20%,10%,0%,54%,51%,1%,99%,7%,33%,16%,%,,
,,Résoudre les conflits,12%,3%,4%,7%,0%,11%,52%,2%,99%,5%,13%,12%,%,,
,,Promouvoir un politicien,6%,3%,0%,2%,0%,4%,25%,1%,78%,6%,11%,7%,%,,
,,Défendre les intérêts d'un groupe ethnique,7%,3%,3%,3%,0%,8%,53%,2%,50%,12%,23%,9%,%,,
,,Défendre les intérêts d'un groupe religieux,8%,4%,1%,2%,0%,38%,52%,2%,56%,9%,16%,11%,%,,
,,Rendre justice,10%,3%,11%,11%,0%,31%,45%,2%,68%,5%,12%,10%,%,,
,,Se venger quand on est victime d'un crime,9%,4%,10%,9%,0%,4%,13%,2%,15%,11%,6%,10%,%,,
SÉCURITÉ,Sentiment de sécurité (% en sécurité),En général dans le quartier/ village,50%,48%,93%,77%,63%,21%,43%,42%,17%,27%,75%,48%,%,,
,,Aller à votre travail/ au champ,52%,51%,92%,80%,56%,8%,44%,40%,61%,10%,70%,55%,%,,
,,Marchez seul pendant le jour dans votre quartier/ village,63%,51%,97%,95%,65%,8%,50%,43%,61%,38%,52%,56%,%,,
,,Marchez seul pendant la nuit dans votre quartier/ village,33%,45%,74%,70%,31%,8%,35%,29%,61%,8%,27%,27%,%,,
,,Rencontrer des gens que vous ne connaissez pas,23%,44%,52%,50%,9%,4%,27%,24%,51%,13%,22%,26%,%,,
,,Rencontrer des gens d'un autre groupe ethnique,34%,14%,87%,74%,57%,3%,26%,30%,50%,14%,35%,33%,%,,
,,Rencontrer des soldats (FACA),83%,96%,97%,98%,69%,94%,56%,91%,94%,90%,26%,75%,%,,
,,Rencontrer des soldats (MINUSCA),52%,76%,97%,96%,61%,67%,57%,87%,73%,74%,72%,48%,%,,
,,Rencontrer des groupes armés,7%,7%,1%,3%,2%,2%,1%,14%,19%,8%,61%,5%,%,,
,,Rencontrer des policiers ou des gendarmes,80%,96%,98%,99%,80%,85%,56%,84%,96%,86%,45%,70%,%,,
,,Parler ouvertement de votre expérience durant les conflits,53%,33%,73%,70%,57%,18%,30%,55%,87%,17%,26%,45%,%,,
,,"Vous plaindre auprès des autorités quand vous êtes la victime d'un crime, d'une aggression ou d'un délit",56%,29%,86%,66%,60%,13%,31%,48%,89%,16%,66%,50%,%,,
,Amélioration de la sécurité dans le quartier/ village au cours des 12 derniers mois,Oui,71%,75%,86%,93%,69%,53%,80%,73%,20%,51%,61%,62%,%,,
,Cause principale du sentiment d’insécurité (% répondants),Aucun problème de sécurité,8%,3%,5%,12%,5%,0%,1%,5%,2%,2%,32%,10%,%,,
,,Absence de passants,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,%,,
,,"Peur d'etre volé , agressé physiquement",4%,21%,3%,0%,2%,0%,5%,0%,0%,8%,0%,4%,%,,
,,"Manque de propreté, insalubre",1%,0%,5%,0%,1%,0%,0%,0%,0%,0%,0%,2%,%,,
,,Manque d'éclairage,4%,0%,2%,4%,0%,0%,2%,0%,0%,3%,0%,8%,%,,
,,Manque de présence policière centrafricaine,1%,2%,6%,0%,1%,0%,1%,0%,0%,0%,0%,2%,%,,
,,"Trafiquants de drogue, drogués",1%,1%,0%,0%,4%,0%,0%,1%,0%,0%,1%,1%,%,,
,,"Trafiquants d'armes, autre marchandise",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,%,,
,,"Présence de mendiants, vendeurs à la sauvette",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Présence de personnes ivres,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,%,,
,,Groupes de jeunes et autres bandes aggressives (clans),0%,0%,0%,0%,0%,0%,1%,1%,0%,2%,0%,3%,%,,
,,Présence de violeurs,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Présence de check points sur les routes,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,%,,
,,"Présence de bandits,criminels, voleurs",2%,0%,4%,0%,0%,4%,1%,0%,0%,0%,15%,4%,%,,
,,"Présence de groupes armés (seleka, antibalaka…)",5%,0%,2%,5%,0%,10%,44%,42%,70%,57%,30%,4%,%,,
,,Présence des policiers/ gendarmes,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Présence des FACA,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Présence de la MINUSCA,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,%,,
,,Manque de présence de gendarmerie nationale,1%,5%,1%,5%,1%,0%,3%,4%,0%,1%,0%,2%,%,,
,,Présence des musulmans,4%,3%,0%,0%,0%,0%,6%,1%,2%,0%,0%,4%,%,,
,,Présence des Peuls,9%,1%,0%,6%,0%,26%,12%,18%,17%,0%,1%,1%,%,,
,,Manque de présence des FACA,9%,8%,3%,12%,16%,11%,1%,2%,0%,1%,0%,7%,%,,
,,"Sorcellerie, charlatanisme",1%,13%,3%,3%,18%,0%,0%,0%,0%,1%,1%,1%,%,,
,,"Rumeurs (attaques, groupes armés…)",18%,0%,44%,6%,21%,18%,18%,13%,5%,1%,0%,11%,%,,
,,"Circulation d'armes, absence de DDR",5%,3%,2%,13%,0%,14%,1%,10%,0%,11%,3%,14%,%,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",21%,37%,18%,31%,25%,16%,1%,2%,1%,10%,10%,16%,%,,
,,"Autre, spécifier",4%,2%,0%,0%,2%,2%,0%,1%,1%,1%,0%,3%,%,,
,Autres causes d’insécurité (% répondants) (plusieurs réponses),Aucun problème de sécurité,6%,4%,5%,16%,5%,1%,1%,4%,2%,3%,34%,7%,%,,
,,Absence de passants,1%,0%,1%,1%,0%,0%,1%,0%,0%,0%,2%,1%,%,,
,,"Peur d'etre volé , agressé physiquement",16%,41%,7%,8%,4%,0%,39%,3%,0%,35%,2%,19%,%,,
,,"Manque de propreté, insalubre",13%,2%,32%,5%,3%,0%,1%,3%,1%,3%,0%,11%,%,,
,,Manque d'éclairage,20%,2%,29%,14%,2%,1%,4%,3%,4%,12%,0%,32%,%,,
,,Manque de présence policière centrafricaine,12%,15%,27%,8%,8%,0%,15%,4%,43%,15%,2%,14%,%,,
,,"Trafiquants de drogue, drogués",10%,8%,1%,0%,18%,1%,2%,4%,0%,17%,9%,10%,%,,
,,"Trafiquants d'armes, autre marchandise",7%,0%,0%,2%,0%,0%,4%,1%,1%,7%,48%,5%,%,,
,,"Présence de mendiants, vendeurs à la sauvette",1%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,%,,
,,Présence de personnes ivres,2%,12%,0%,0%,1%,0%,4%,0%,0%,2%,0%,2%,%,,
,,Groupes de jeunes et autres bandes aggressives (clans),6%,0%,1%,2%,2%,0%,14%,3%,2%,7%,25%,13%,%,,
,,Présence de violeurs,1%,1%,0%,1%,0%,2%,2%,0%,0%,3%,1%,2%,%,,
,,Présence de check points sur les routes,0%,0%,1%,1%,0%,8%,6%,2%,0%,4%,1%,1%,%,,
,,"Présence de bandits,criminels, voleurs",11%,0%,12%,1%,1%,7%,13%,2%,4%,17%,44%,13%,%,,
,,"Présence de groupes armés (seleka, antibalaka…)",17%,0%,5%,12%,0%,22%,76%,58%,88%,74%,7%,15%,%,,
,,Présence des policiers/ gendarmes,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,%,,
,,Présence des FACA,1%,0%,0%,0%,0%,1%,0%,0%,2%,0%,0%,1%,%,,
,,Présence de la MINUSCA,5%,0%,0%,1%,0%,0%,0%,0%,2%,0%,1%,5%,%,,
,,Manque de présence de gendarmes nationaux,15%,29%,16%,14%,5%,1%,12%,27%,49%,22%,2%,16%,%,,
,,Présence des musulmans,11%,6%,1%,2%,0%,12%,34%,3%,10%,4%,0%,12%,%,,
,,Présence des Peuls,12%,6%,1%,20%,0%,53%,44%,44%,33%,5%,3%,3%,%,,
,,Manque de présence des FACA,36%,30%,22%,56%,38%,38%,26%,22%,4%,17%,0%,28%,%,,
,,"Sorcellerie, charlatanisme",8%,46%,15%,24%,56%,0%,15%,10%,1%,23%,2%,9%,%,,
,,"Rumeurs (attaques, groupes armés…)",48%,2%,40%,24%,53%,64%,63%,32%,11%,19%,0%,37%,%,,
,,"Circulation d'armes, absence de DDR",38%,13%,21%,50%,4%,52%,16%,39%,3%,57%,23%,43%,%,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",50%,77%,65%,59%,50%,42%,42%,33%,1%,47%,32%,45%,%,,
,,"Autre, spécifier",5%,6%,1%,1%,4%,0%,0%,1%,2%,1%,0%,4%,%,,
,,Ne sait pas,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Mesures pour se sentir plus en sécurité (% répondants) (plusieurs réponses),Plus de policiers centrafricains,19%,20%,24%,8%,32%,5%,84%,6%,60%,25%,36%,21%,%,,
,,Moins de policiers centrafricains,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,%,,
,,Plus de groupes d'autodéfense du quartier,6%,13%,3%,13%,6%,6%,0%,1%,1%,4%,1%,4%,%,,
,,Moins de groupes d'auto-defense du quartier,1%,0%,1%,1%,0%,0%,2%,0%,0%,0%,0%,3%,%,,
,,Plus de nettoyage du quartier,17%,3%,19%,17%,3%,4%,5%,1%,0%,1%,0%,16%,%,,
,,Moins d'attroupements de bandes sur le bord des routes,2%,0%,0%,4%,0%,0%,3%,2%,0%,1%,0%,4%,%,,
,,Plus d'éclairage public,25%,1%,15%,13%,2%,0%,2%,4%,8%,13%,0%,42%,%,,
,,Plus de patrouilles policiers dans les quartiers,31%,2%,25%,8%,2%,10%,44%,15%,13%,17%,6%,36%,%,,
,,Avoir un poste de police dans le quartier,19%,9%,22%,6%,0%,8%,35%,4%,16%,13%,2%,18%,%,,
,,Plus de patrouilles des FACA,19%,40%,41%,43%,62%,0%,0%,26%,1%,27%,0%,18%,%,,
,,Plus de patrouilles de la MINUSCA,3%,6%,33%,31%,17%,0%,0%,9%,0%,6%,17%,4%,%,,
,,Plus de gendarmes nationaux,26%,41%,43%,35%,47%,8%,80%,35%,69%,35%,35%,21%,%,,
,,Moins de gendarmes nationaux,1%,0%,1%,1%,1%,0%,0%,0%,1%,0%,0%,1%,%,,
,,Créer un réseau d'alerte,12%,10%,2%,18%,40%,2%,2%,8%,0%,0%,3%,16%,%,,
,,Améliorer le réseau d'alerte,9%,2%,1%,8%,0%,2%,1%,7%,1%,2%,5%,9%,%,,
,,Désarmement (DDR),70%,40%,43%,80%,22%,87%,82%,89%,87%,93%,60%,69%,%,,
,,Arrêter/ éliminer les groupes armés,42%,4%,34%,49%,5%,67%,46%,58%,24%,57%,1%,31%,%,,
,,"Plus de communication, dialogue, cohésion sociale",36%,50%,46%,24%,4%,75%,71%,40%,24%,52%,56%,37%,%,,
,,"Plus de développement, emploi",51%,84%,69%,62%,35%,46%,49%,29%,13%,44%,62%,41%,%,,
,,"Autre, spécifier",14%,5%,4%,8%,6%,1%,20%,5%,16%,14%,3%,8%,%,,
,,Ne sait pas,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,%,,
ACTEURS DE SÉCURITÉ (GÉNÉRAL),Personnes ou groupes qui assurent principalement la sécurité dans ce quartier/village,Personne,12%,4%,0%,5%,8%,5%,1%,3%,11%,4%,0%,14%,%,,
,,La police centrafricaine,3%,0%,4%,0%,11%,1%,2%,0%,0%,1%,0%,3%,%,,
,,La gendarmerie nationale,6%,9%,24%,9%,19%,5%,6%,1%,1%,4%,0%,1%,%,,
,,Les sociétés privées de gardiennage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Les chefs de quartier,25%,61%,39%,54%,39%,5%,28%,25%,68%,23%,2%,20%,%,,
,,La police municipale,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Les groupes d’autodéfense,2%,4%,4%,2%,9%,15%,5%,3%,1%,0%,6%,4%,%,,
,,Les groupes armés,1%,0%,0%,0%,0%,0%,0%,0%,0%,4%,27%,1%,%,,
,,Les FACA,5%,0%,6%,0%,4%,26%,0%,2%,4%,16%,0%,5%,%,,
,,La MINUSCA,0%,0%,2%,7%,2%,7%,25%,5%,5%,1%,18%,1%,%,,
,,Population elle-même,34%,13%,3%,5%,0%,22%,21%,2%,2%,14%,26%,32%,%,,
,,Dieu,10%,10%,18%,7%,1%,4%,11%,53%,5%,31%,20%,17%,%,,
,,"Autre, spécifier",2%,0%,1%,10%,5%,11%,1%,5%,2%,1%,0%,1%,%,,
POLICE,Présence de la police pour assurer la sécurité dans le quartier/ village,OUI,16%,23%,39%,16%,24%,25%,25%,20%,13%,33%,0%,26%,%,,
,Contribution de la police à la sécurité dans votre quartier/ village,% Contribution positive,19%,13%,26%,22%,23%,25%,38%,11%,47%,51%,3%,25%,%,,
,Evolution du travail de la police dans les 12 derniers mois (% oui),Amélioration du travail de la police,36%,17%,39%,75%,46%,30%,19%,19%,16%,4%,0%,44%,%,,
,Aidé par la police dans la dernière année,OUI,11%,3%,3%,1%,3%,18%,23%,11%,12%,6%,0%,19%,%,,
,Victime de mauvais traitement par la police dans la dernière année,OUI,2%,0%,2%,1%,0%,2%,0%,0%,0%,0%,0%,2%,%,,
GENDARMES,Présence de la gendarmerie pour assurer la sécurité dans le quartier/ village,OUI,32%,51%,79%,39%,61%,39%,50%,30%,13%,31%,0%,24%,%,,
,Contribution de la gendarmerie à la sécurité dans votre quartier/ village,% Contribution positive,28%,44%,35%,14%,40%,11%,13%,56%,29%,35%,17%,29%,%,,
,Evolution du travail de la gendarmerie dans les 12 derniers mois (% oui),Amélioration du travail de la gendarmerie,53%,44%,67%,83%,68%,41%,37%,28%,17%,4%,1%,49%,%,,
,Aidé par la gendarmerie dans la dernière année,OUI,17%,8%,16%,6%,13%,26%,45%,16%,11%,3%,0%,18%,%,,
,Victime de mauvais traitement par des gendarmes dans la dernière année,OUI,0%,0%,6%,3%,1%,2%,1%,2%,0%,0%,0%,1%,%,,
FACA,Présence des FACA pour assurer la sécurité dans le quartier/ village,OUI,21%,8%,60%,11%,26%,11%,2%,21%,2%,21%,0%,22%,%,,
,Contribution des FACA à la sécurité dans votre quartier/ village,% Contribution positive,21%,82%,48%,2%,43%,8%,0%,60%,42%,35%,19%,27%,%,,
,Evolution du travail des FACA dans les 12 derniers mois (% oui),Amélioration du travail des FACA,36%,8%,42%,51%,46%,20%,1%,22%,0%,3%,0%,41%,%,,
,Aidé par les FACA dans la dernière année,OUI,17%,0%,4%,1%,5%,9%,1%,3%,1%,4%,0%,18%,%,,
,Victime de mauvais traitement par les FACA dans la dernière année,OUI,0%,0%,2%,1%,0%,0%,0%,1%,0%,2%,1%,3%,%,,
MINUSCA,Présence de la MINUSCA pour assurer la sécurité dans le quartier/ village,OUI,12%,6%,87%,24%,14%,48%,64%,29%,59%,39%,49%,23%,%,,
,Contribution de la MINUSCA à la sécurité dans votre quartier/ village,% Contribution positive,35%,81%,45%,6%,44%,8%,29%,57%,19%,38%,16%,34%,%,,
,Evolution du travail de la MINUSCA dans les 12 derniers mois (% oui),Amélioration du travail de la MINUSCA,12%,7%,42%,56%,36%,44%,62%,31%,50%,20%,46%,17%,%,,
,Aidé par la MINUSCA dans la dernière année,OUI,6%,0%,6%,2%,2%,37%,59%,17%,48%,11%,38%,8%,%,,
,Victime de mauvais traitement par la MINUSCA dans la dernière année,OUI,5%,0%,1%,3%,0%,3%,3%,1%,19%,0%,2%,4%,%,,
CRIMES,Victime d'un vol/ cambriolage (12 derniers mois),OUI,28%,40%,34%,8%,16%,32%,44%,50%,78%,50%,39%,34%,%,,
,Se faire agresser physiquement sans arme (12 derniers mois),OUI,10%,10%,7%,3%,2%,11%,21%,17%,76%,27%,24%,11%,%,,
,Se faire agresser physiquement avec une arme (12 derniers mois),OUI,9%,9%,6%,4%,6%,12%,27%,24%,78%,16%,12%,12%,%,,
,Être forcé de payer des motivations (corruption) (12 derniers mois),OUI,10%,1%,7%,3%,1%,6%,19%,9%,50%,16%,1%,11%,%,,
,Être victime de sorcellerie (12 derniers mois),OUI,12%,20%,10%,21%,22%,26%,54%,27%,56%,32%,17%,13%,%,,
,Connaître quelqu'un victime de sorcellerie (12 derniers mois),OUI,21%,39%,24%,35%,38%,28%,49%,40%,39%,52%,16%,21%,%,,
,Connaître quelqu'un accusé de sorcellerie (12 derniers mois),OUI,22%,40%,30%,30%,40%,33%,45%,43%,45%,64%,19%,23%,%,,
,Etre accusé de sorcellerie (12 derniers mois),OUI,5%,0%,3%,8%,9%,4%,11%,10%,6%,13%,3%,4%,%,,
VIOLENCES LIÉES AUX CONFLITS,Témoin de violences liées aux conflits (général - 12 derniers mois) - (toutes les catégories),Oui,22%,0%,4%,7%,10%,11%,25%,38%,15%,51%,1%,21%,%,,
,Combats,Oui,3%,0%,1%,3%,1%,4%,2%,1%,13%,18%,0%,10%,%,,
,Aggressions physiques,Oui,9%,0%,3%,3%,6%,4%,2%,8%,1%,35%,0%,9%,%,,
,Aggressions sexuelles,Oui,3%,0%,0%,1%,1%,0%,6%,8%,2%,9%,0%,3%,%,,
,"Vols, pillages",Oui,14%,0%,3%,5%,8%,7%,24%,35%,6%,34%,0%,12%,%,,
,Destruction des propriétés,Oui,10%,0%,2%,3%,5%,4%,8%,18%,1%,1%,0%,9%,%,,
,Meurtres,Oui,14%,0%,1%,1%,0%,1%,7%,22%,12%,10%,0%,11%,%,,
,"Autre, spécifier",Oui,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,0%,0%,%,,
,[Sans réponse],Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Victime de violences liés aux conflits (général - 12 derniers mois) (toutes les catégories),Oui,11%,1%,3%,5%,6%,10%,44%,21%,35%,40%,1%,11%,%,,
,Combats,Oui,1%,0%,0%,2%,1%,3%,2%,0%,17%,5%,0%,2%,%,,
,Aggressions physiques,Oui,4%,0%,1%,2%,3%,5%,4%,1%,7%,25%,0%,5%,%,,
,Aggressions sexuelles,Oui,1%,0%,0%,1%,1%,1%,4%,4%,5%,3%,0%,1%,%,,
,"Vols, pillages",Oui,9%,1%,2%,4%,4%,7%,44%,20%,34%,30%,0%,8%,%,,
,Destruction des propriétés,Oui,6%,0%,1%,2%,3%,4%,20%,10%,23%,4%,0%,4%,%,,
,Meurtres,Oui,5%,0%,0%,1%,0%,1%,3%,5%,3%,1%,0%,1%,%,,
,"Autre, spécifier",Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,%,,
,Menacé de mort à cause des conflits (12 derniers mois),OUI,21%,15%,6%,6%,11%,16%,40%,24%,47%,21%,8%,21%,%,,
,Pensé que vous alliez mourrir à cause des conflits (12 derniers mois),OUI,46%,48%,20%,10%,15%,24%,56%,56%,92%,48%,33%,47%,%,,
,Perdu des membres de votre ménage parce qu'ils ont été kidnappés ou ont disparu à cause des conflits (12 derniers mois),OUI,23%,13%,3%,2%,16%,21%,42%,25%,75%,14%,24%,19%,%,,
,Perdu des membres de votre ménage parce qu'ils ont été tués à cause des conflits (12 derniers mois),OUI,47%,26%,7%,10%,20%,33%,64%,50%,83%,35%,62%,46%,%,,
,"Personnellement été emprisonné, forcé de travailler, ou forcé de commettre des violences comme voler, tuer ou battre des personnes, par des groupes armés ou militaires (12 derniers mois)",OUI,6%,2%,1%,2%,2%,5%,11%,9%,48%,15%,5%,6%,%,,
VIOLENCES SEXUELLES,Perception générale sur les violences sexuelles et acteurs associés (% d'accord),"Un homme devrait toujours s'assurer que sa partenaire est d'accord avant de s'engager dans une relation sexuelle, même s'ils sont mariés.",97%,100%,97%,80%,93%,100%,95%,99%,94%,87%,93%,97%,%,,
,,"Une femme devrait toujours s'assurer que son partenaire est d'accord avant de s'engager dans une relation sexuelle, même s'ils sont mariés.",95%,100%,97%,81%,92%,100%,97%,98%,93%,88%,90%,97%,%,,
,,Il est parfois acceptable qu'un homme batte son épouse,24%,9%,53%,30%,38%,55%,31%,29%,24%,39%,81%,21%,%,,
,,Il est parfois acceptable qu'une femme batte son époux,8%,1%,8%,2%,12%,1%,6%,24%,10%,16%,10%,6%,%,,
,,"Les violences sexuelles doivent se résoudre dans les familles, sans les autorités",66%,15%,50%,58%,88%,69%,62%,44%,64%,42%,77%,61%,%,,
,,Les responsables de violence sexuelles sont généralement punis,96%,90%,94%,99%,96%,99%,99%,99%,97%,96%,98%,95%,%,,
,,Les policiers/ gendarmes sont punis de façon appropriée lorsqu'ils sont coupables de violences sexuelles,96%,97%,92%,100%,54%,99%,90%,99%,98%,99%,99%,97%,%,,
,,Les soldats FACA sont punis de façon appropriée lorsqu'ils sont coupables de violences sexuelles,96%,97%,92%,99%,53%,100%,88%,100%,98%,99%,99%,96%,%,,
,,Les soldats de la MINUSCA sont punis de façon appropriée lorsqu'ils sont coupable de violence sexuelles,91%,97%,86%,100%,53%,100%,87%,99%,98%,99%,99%,93%,%,,
,,Les victimes de violences sexuelles peuvent avoir leur cas jugés par les tribunaux,96%,99%,99%,100%,97%,99%,99%,98%,99%,99%,100%,97%,%,,
,,Les victimes des violences sexuelles peuvent avoir leur cas enquêtés par la police,95%,100%,99%,100%,97%,100%,99%,99%,98%,99%,100%,97%,%,,
,"Connaître une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des deux dernières années, que ce soit chez eux ou ailleurs",OUI,25%,26%,16%,27%,31%,9%,47%,23%,26%,41%,10%,25%,%,,
,"Témoin d'une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des deux dernières années, que ce soit chez eux ou ailleurs",OUI,13%,7%,7%,16%,23%,7%,11%,18%,14%,19%,5%,14%,%,,
,"Victime d'un harcèlement, aggression ou mutilation sexuelle au cours des deux dernières années, que ce soit chez vous ou ailleurs",OUI,2%,0%,0%,4%,2%,2%,6%,9%,4%,11%,2%,3%,%,,
,Arrivé plusieurs fois,OUI,35%,0%,80%,52%,50%,0%,7%,20%,100%,42%,75%,55%,%,,
,Responsable du dernier incident de violence sexuelle,un membre de votre famille,14%,0%,40%,17%,25%,20%,7%,5%,67%,1%,25%,13%,%,,
,,un ami proche,15%,0%,0%,9%,0%,0%,7%,4%,0%,3%,0%,35%,%,,
,,une connaissance,23%,100%,40%,45%,0%,0%,21%,20%,11%,5%,25%,14%,%,,
,,une personne en tenue,32%,0%,0%,12%,0%,60%,7%,13%,22%,31%,0%,12%,%,,
,,une personne inconnue,14%,0%,0%,16%,25%,0%,50%,58%,0%,40%,0%,21%,%,,
,,ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,%,,
,,"Autre, spécifier",3%,0%,20%,2%,50%,20%,7%,0%,0%,19%,25%,6%,%,,
,"Parlé de cet incident, et si oui, à qui (plusieurs réponses)",Non,11%,0%,20%,5%,0%,40%,14%,28%,11%,26%,25%,24%,%,,
,,"Oui, parent (père, mère)",49%,0%,60%,38%,50%,0%,14%,44%,11%,42%,50%,25%,%,,
,,"Oui, frère, soeur",27%,0%,20%,10%,25%,0%,0%,62%,33%,41%,0%,17%,%,,
,,"Oui, autre membre du ménage",3%,0%,20%,24%,0%,0%,57%,8%,0%,24%,0%,4%,%,,
,,"Oui, un ami",26%,0%,0%,2%,0%,0%,0%,0%,11%,14%,0%,17%,%,,
,,"Oui, police",3%,100%,0%,0%,0%,0%,0%,1%,11%,1%,0%,17%,%,,
,,"Oui, chef de quartier",29%,100%,60%,29%,25%,40%,57%,23%,78%,35%,0%,29%,%,,
,,"Oui, tribunal",0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,6%,%,,
,,"Oui, gendarmerie",3%,0%,0%,19%,25%,0%,0%,0%,33%,0%,0%,6%,%,,
,,"Oui, prêtre, Iman",3%,0%,20%,0%,0%,0%,0%,1%,33%,3%,25%,0%,%,,
,,"Oui, autre, spécifier",3%,0%,0%,2%,0%,20%,0%,4%,0%,3%,0%,23%,%,,
,"Porté plainte, et si oui, auprès de qui (% répondants) (plusieurs réponses)","Non, pas de plainte",62%,0%,80%,47%,75%,40%,64%,86%,0%,76%,75%,52%,%,,
,,"Oui, police",18%,100%,0%,2%,0%,0%,0%,1%,11%,0%,0%,9%,%,,
,,"Oui, chef de quartier",11%,100%,20%,12%,25%,40%,43%,14%,78%,25%,25%,23%,%,,
,,"Oui, tribunal",3%,0%,20%,0%,0%,0%,0%,1%,11%,0%,0%,18%,%,,
,,"Oui, gendarmerie",6%,0%,0%,21%,25%,0%,0%,0%,56%,1%,0%,10%,%,,
,,"Oui, prêtre, Iman",0%,0%,0%,0%,0%,0%,0%,4%,33%,4%,0%,0%,%,,
,,"Oui, parent",0%,0%,0%,2%,0%,0%,0%,8%,0%,4%,0%,6%,%,,
,,"Oui, procureur",3%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,1%,%,,
,,"Oui, autre, spécifier",21%,0%,20%,17%,0%,0%,7%,0%,0%,0%,0%,34%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,%,,
,Satisfaction de la résolution,oui,59%,100%,40%,52%,50%,40%,29%,52%,100%,20%,25%,69%,%,,
,Efforts des acteurs suivants pour lutter contre les violences sexuelles (% bon et très bon),Etat,60%,30%,87%,75%,87%,42%,91%,66%,92%,55%,52%,59%,%,,
,,Police,55%,29%,67%,73%,63%,49%,81%,66%,95%,53%,50%,58%,%,,
,,Gendarmerie,60%,33%,87%,73%,67%,51%,76%,65%,95%,52%,50%,61%,%,,
,,"Autorités locales et villageoises (chef du village, mairie, chef coutumier, de clan)",60%,38%,91%,65%,87%,51%,78%,69%,96%,53%,80%,57%,%,,
,,MINUSCA,41%,5%,68%,89%,43%,51%,86%,63%,64%,70%,54%,45%,%,,
,,Système de justice national (tribunaux),69%,46%,95%,90%,83%,73%,87%,76%,97%,52%,55%,70%,%,,
,,ONGs,68%,38%,97%,93%,67%,63%,84%,77%,94%,72%,53%,73%,%,,
,Accès aux services suivants pour les victimes de violences sexuelles (bon et très bon),Soins de santé,76%,33%,81%,79%,19%,61%,80%,69%,96%,54%,55%,77%,%,,
,,Support psychologique,65%,36%,82%,81%,32%,74%,81%,64%,99%,52%,54%,72%,%,,
,Traitement des victimes de violences sexuelles par rapport aux autres crimes,mieux servies,70%,12%,47%,73%,41%,37%,62%,18%,29%,44%,33%,73%,%,,
,,moins bien servies,18%,15%,36%,6%,10%,37%,29%,79%,39%,36%,59%,14%,%,,
,,même chose,12%,72%,17%,20%,48%,26%,9%,3%,32%,20%,7%,13%,%,,
,,[Sans réponse],0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,1%,0%,%,,
,Traitement des victimes de violences sexuelles par rapport à l'année dernière,mieux servies,70%,11%,43%,48%,19%,38%,71%,17%,23%,43%,33%,69%,%,,
