Catégories,Variables,Réponses,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Unit,Source,Source Link
,Les autorités (en général) représentent les intérêts de tous les groupes religieux de façon égale (% oui),Traitent de façon égale,70%,76%,74%,70%,58%,70%,74%,69%,65%,60%,80%,71%,%,,
,,Certains groupes sont privilégiés,30%,24%,24%,30%,41%,30%,25%,30%,35%,39%,20%,29%,%,,
,"Prêt à élire une femme à la présidence de la république, si une option",Oui,68%,73%,77%,75%,68%,69%,82%,66%,64%,71%,76%,72%,%,,
CONFLITS ET DISPUTES,Principaux types de conflits et disputes dans le quartier / village (% répondants - réponses multiples),Aucun conflit / dispute,17%,14%,13%,11%,36%,18%,12%,5%,15%,12%,22%,14%,%,,
,,"Questions d’autorités, de pouvoir",9%,11%,16%,11%,9%,12%,9%,15%,12%,8%,6%,11%,%,,
,,Dispute domestiques/ différends familiaux,45%,49%,42%,45%,36%,48%,48%,52%,45%,53%,40%,47%,%,,
,,Conflit sur les limites des terres,30%,29%,19%,15%,10%,27%,11%,7%,20%,25%,15%,17%,%,,
,,Conflits sur la propriété des terres,27%,26%,14%,12%,9%,16%,11%,12%,13%,25%,9%,15%,%,,
,,Conflits sur l’argent / paiement,16%,19%,18%,16%,12%,17%,18%,30%,20%,21%,14%,20%,%,,
,,Vols,63%,61%,45%,52%,53%,57%,39%,52%,65%,62%,40%,52%,%,,
,,Conflits ethniques,3%,11%,4%,5%,2%,10%,2%,11%,5%,9%,5%,7%,%,,
,,Conflits religieux,2%,8%,3%,5%,0%,7%,1%,5%,7%,5%,2%,4%,%,,
,,Violences physiques ou sexuelles,5%,10%,5%,8%,8%,12%,5%,21%,14%,15%,7%,11%,%,,
,,"Sorcellerie, chalatanisme",12%,22%,17%,20%,2%,11%,21%,16%,10%,16%,19%,16%,%,,
,,Violence domestique,18%,13%,12%,15%,10%,18%,14%,18%,17%,20%,6%,15%,%,,
,,"Différends dans la communauté (voisin, entre femmes, etc..)",28%,44%,41%,43%,9%,24%,42%,41%,25%,34%,18%,34%,%,,
,,"Jalousie, haine, calomnie",29%,40%,46%,48%,15%,31%,49%,47%,30%,37%,30%,39%,%,,
,,Autre,10%,14%,13%,19%,4%,6%,17%,13%,7%,4%,30%,14%,%,,
,,[Sans réponse],0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Présence de dispute/ différend dans le quartier/ village (12 derniers mois),oui,23%,29%,28%,37%,16%,26%,27%,28%,24%,34%,43%,29%,%,,
,Types de différends/ disputes (% répondants - réponses multiples),"Questions d’autorités, de pouvoir",4%,2%,6%,12%,9%,9%,10%,8%,6%,3%,6%,7%,%,,
,,Dispute domestiques,53%,70%,74%,68%,71%,68%,63%,61%,66%,67%,66%,65%,%,,
,,Conflit sur les limites des terres,35%,32%,21%,19%,9%,28%,17%,10%,17%,15%,8%,17%,%,,
,,Conflits sur la propriété des terres,39%,13%,18%,10%,6%,16%,10%,8%,23%,12%,8%,14%,%,,
,,Conflits sur l’argent / paiement,43%,21%,24%,19%,51%,49%,24%,26%,74%,33%,23%,32%,%,,
,,Conflits ethniques,10%,13%,8%,10%,3%,12%,10%,21%,8%,7%,6%,11%,%,,
,,Sorcellerie,12%,37%,18%,30%,0%,4%,32%,19%,19%,17%,22%,21%,%,,
,,Autre,18%,16%,8%,10%,11%,5%,10%,10%,0%,15%,21%,11%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Personnes approchées pour aider à résoudre ces différends/ disputes (% répondants - réponses multiples),Non - Personne,18%,25%,19%,21%,40%,35%,22%,18%,26%,20%,23%,23%,%,,
,,Sans aide extérieur - avec l'autre partie,8%,11%,10%,4%,3%,11%,7%,5%,0%,11%,4%,6%,%,,
,,"La population elle-même, les familles",49%,35%,48%,35%,34%,39%,51%,44%,72%,48%,44%,46%,%,,
,,Les autorités villageoises,2%,6%,26%,17%,0%,0%,8%,29%,0%,1%,0%,10%,%,,
,,Le chef coutumier,27%,35%,32%,37%,20%,14%,27%,32%,9%,21%,26%,26%,%,,
,,La police,24%,16%,19%,16%,23%,14%,15%,19%,8%,13%,3%,14%,%,,
,,Les chefs religieux,20%,14%,10%,4%,14%,14%,3%,8%,26%,9%,18%,12%,%,,
,,Les militaires,4%,0%,0%,1%,3%,2%,0%,2%,0%,0%,0%,1%,%,,
,,Les groupes armés,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Le système judiciaire national,6%,6%,5%,6%,6%,11%,5%,6%,8%,1%,3%,6%,%,,
,,Les ONGs,4%,0%,0%,1%,3%,5%,0%,0%,8%,0%,0%,1%,%,,
,,La mairie,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Les associations,0%,0%,0%,0%,3%,2%,0%,0%,2%,0%,0%,0%,%,,
,,Les gendarmes,8%,2%,0%,12%,9%,5%,0%,3%,0%,7%,6%,4%,%,,
,,Autre,10%,3%,0%,2%,0%,4%,2%,6%,2%,4%,15%,5%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Satisfaction sur la résolution,oui,82%,71%,74%,77%,74%,81%,85%,87%,77%,85%,89%,82%,%,,
,Acceptable d'utiliser la violence dans les situations suivantes (% oui):,Protéger la communauté,13%,15%,5%,13%,8%,16%,8%,5%,13%,23%,14%,11%,%,,
,,Rétablir la sécurité,26%,25%,13%,18%,31%,37%,20%,11%,28%,33%,24%,22%,%,,
,,Résoudre les conflits,18%,20%,8%,20%,28%,31%,14%,10%,24%,24%,17%,18%,%,,
,,Promouvoir un politicien,11%,14%,11%,14%,10%,16%,11%,8%,14%,11%,19%,12%,%,,
,,Défendre les intérêts d'un groupe ethnique,16%,16%,5%,15%,19%,19%,8%,8%,16%,24%,15%,13%,%,,
,,Défendre les intérêts d'un groupe religieux,15%,16%,10%,10%,19%,17%,11%,7%,16%,24%,20%,14%,%,,
,,Rendre justice,24%,17%,7%,14%,29%,32%,7%,9%,29%,25%,9%,16%,%,,
,,Se venger quand on est victime d'un crime,6%,10%,14%,17%,5%,10%,14%,11%,9%,9%,18%,12%,%,,
SÉCURITÉ,Sentiment de sécurité (% en sécurité),En général dans le quartier/ village,60%,48%,60%,59%,70%,61%,61%,52%,44%,65%,43%,55%,%,,
,,Aller à votre travail/ au champ,66%,56%,53%,60%,72%,69%,48%,50%,47%,75%,43%,55%,%,,
,,Marcher seul pendant le jour dans votre quartier/ village,72%,63%,66%,63%,75%,78%,66%,66%,61%,80%,49%,66%,%,,
,,Marcher seul pendant la nuit dans votre quartier/ village,35%,20%,35%,36%,34%,38%,46%,29%,22%,40%,19%,32%,%,,
,,Rencontrer des gens que vous ne connaissez pas,42%,28%,36%,38%,31%,35%,35%,24%,26%,40%,21%,31%,%,,
,,Rencontrer des gens d'un autre groupe ethnique,54%,35%,27%,30%,45%,49%,34%,27%,41%,57%,23%,36%,%,,
,,Rencontrer des soldats (FACA),81%,79%,86%,74%,75%,76%,87%,83%,80%,83%,82%,82%,%,,
,,Rencontrer des soldats (MINUSCA),56%,53%,42%,41%,55%,57%,40%,33%,40%,63%,30%,43%,%,,
,,Rencontrer des groupes armés,9%,6%,14%,8%,5%,8%,10%,4%,7%,7%,3%,7%,%,,
,,Rencontrer des policiers ou des gendarmes,82%,76%,76%,75%,80%,81%,79%,83%,80%,81%,68%,79%,%,,
,,Parler ouvertement de votre expérience durant les conflits,50%,41%,38%,39%,45%,57%,38%,44%,49%,56%,28%,43%,%,,
,,"Vous plaindre auprès des autorités quand vous êtes la victime d'un crime, d'une aggression ou d'un délit",62%,55%,45%,49%,57%,63%,45%,51%,54%,62%,39%,52%,%,,
,Amélioration de la sécurité dans le quartier/ village au cours des 12 derniers mois,Oui,74%,80%,83%,87%,69%,59%,87%,70%,56%,81%,82%,75%,%,,
,Cause principale d’insécurité (% répondants),Aucun problème de sécurité,18%,5%,13%,13%,22%,17%,20%,2%,9%,14%,14%,12%,%,,
,,Absence de passants,0%,2%,0%,0%,2%,2%,0%,0%,1%,4%,0%,1%,%,,
,,"Peur d'etre volé , agressé physiquement",9%,11%,8%,6%,15%,12%,3%,6%,6%,9%,6%,7%,%,,
,,"Manque de propreté, insalubre",9%,3%,2%,0%,1%,4%,0%,1%,2%,5%,0%,2%,%,,
,,Manque d'éclairage,14%,8%,7%,22%,13%,11%,10%,23%,10%,10%,6%,13%,%,,
,,Manque de présence policière centrafricaine,1%,4%,2%,4%,4%,5%,4%,5%,2%,0%,4%,3%,%,,
,,"Trafiquants de drogue, drogués",0%,0%,1%,1%,1%,3%,2%,2%,0%,0%,2%,1%,%,,
,,"Trafiquants d'armes, autre marchandise",0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,%,,
,,"Présence de mendiants, vendeurs à la sauvette",0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,%,,
,,Présence de personnes ivres,0%,0%,0%,0%,1%,0%,1%,0%,1%,1%,3%,1%,%,,
,,Groupes de jeunes et autres bandes aggressives (clans),3%,2%,4%,2%,2%,2%,3%,3%,2%,3%,5%,3%,%,,
,,Présence de violeurs,1%,2%,2%,1%,2%,1%,2%,3%,1%,1%,3%,2%,%,,
,,Présence de check points sur les routes,1%,0%,1%,3%,3%,0%,0%,0%,0%,0%,2%,1%,%,,
,,"Présence de bandits,criminels, voleurs",2%,4%,5%,5%,3%,3%,6%,4%,3%,5%,7%,5%,%,,
,,"Présence de groupes armés (seleka, antibalaka…)",6%,4%,4%,3%,11%,4%,2%,4%,7%,3%,2%,4%,%,,
,,Présence des policiers/ gendarmes,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Présence des FACA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Présence de la MINUSCA,0%,0%,1%,1%,0%,0%,1%,1%,0%,0%,3%,1%,%,,
,,Manque de présence de gendarmerie nationale,0%,1%,0%,0%,1%,3%,0%,0%,0%,0%,1%,1%,%,,
,,Présence des musulmans,0%,3%,0%,2%,1%,1%,0%,5%,5%,0%,0%,2%,%,,
,,Présence des Peulhs,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Manque de présence des FACA,4%,10%,10%,5%,0%,2%,12%,8%,2%,4%,17%,8%,%,,
,,"Sorcellerie, charlatanisme",0%,0%,1%,1%,0%,0%,3%,1%,0%,2%,0%,1%,%,,
,,"Rumeurs (attaques, groupes armés…)",4%,9%,4%,3%,3%,4%,3%,6%,13%,3%,2%,5%,%,,
,,"Circulation d'armes, absence de DDR",1%,6%,12%,9%,2%,4%,14%,15%,4%,5%,10%,9%,%,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",25%,23%,17%,19%,8%,18%,8%,5%,27%,28%,9%,16%,%,,
,,Autre,3%,2%,4%,1%,2%,2%,4%,3%,1%,1%,3%,2%,%,,
,,Ne sait pas,0%,0%,1%,0%,0%,1%,0%,0%,1%,1%,0%,0%,%,,
,Autres causes d’insécurité (% répondants - réponses multiples),Aucun problème de sécurité,23%,3%,11%,6%,21%,16%,16%,1%,8%,15%,12%,10%,%,,
,,Absence de passants,2%,8%,3%,0%,9%,4%,1%,1%,8%,2%,0%,3%,%,,
,,"Peur d'etre volé , agressé physiquement",22%,43%,30%,27%,31%,28%,16%,37%,35%,33%,18%,29%,%,,
,,"Manque de propreté, insalubre",15%,24%,17%,15%,12%,22%,4%,20%,16%,20%,3%,15%,%,,
,,Manque d'éclairage,40%,47%,34%,45%,36%,45%,27%,49%,56%,42%,25%,41%,%,,
,,Manque de présence policière centrafricaine,9%,20%,19%,11%,15%,24%,11%,18%,21%,11%,14%,16%,%,,
,,"Trafiquants de drogue, drogués",3%,14%,20%,14%,6%,9%,18%,32%,11%,10%,13%,16%,%,,
,,"Trafiquants d'armes, autre marchandise",0%,5%,9%,5%,4%,2%,8%,13%,0%,2%,5%,6%,%,,
,,"Présence de mendiants, vendeurs à la sauvette",0%,2%,4%,1%,1%,2%,2%,2%,2%,3%,1%,2%,%,,
,,Présence de personnes ivres,3%,5%,4%,2%,4%,4%,3%,4%,2%,5%,6%,4%,%,,
,,Groupes de jeunes et autres bandes aggressives (clans),7%,17%,23%,17%,9%,8%,10%,23%,9%,7%,18%,15%,%,,
,,Présence de violeurs,4%,7%,7%,4%,11%,5%,3%,10%,5%,5%,6%,6%,%,,
,,Présence de check points sur les routes,2%,7%,11%,4%,4%,3%,6%,3%,1%,3%,10%,5%,%,,
,,"Présence de bandits,criminels, voleurs",8%,25%,29%,22%,13%,16%,21%,40%,16%,16%,19%,23%,%,,
,,"Présence de groupes armés (seleka, antibalaka…)",11%,16%,21%,17%,20%,13%,17%,28%,19%,14%,9%,18%,%,,
,,Présence des policiers/ gendarmes,0%,0%,0%,0%,2%,2%,0%,2%,2%,0%,0%,1%,%,,
,,Présence des FACA,0%,0%,0%,0%,1%,1%,1%,0%,1%,0%,0%,0%,%,,
,,Présence de la MINUSCA,1%,6%,9%,10%,0%,4%,10%,6%,5%,2%,15%,7%,%,,
,,Manque de présence de gendarmerie nationale,10%,13%,13%,7%,12%,17%,10%,17%,11%,10%,13%,13%,%,,
,,Présence des musulmans,4%,16%,4%,7%,3%,4%,4%,13%,10%,5%,5%,7%,%,,
,,Présence des Peulhs,3%,7%,0%,1%,0%,0%,1%,3%,1%,4%,1%,2%,%,,
,,Manque de présence des FACA,13%,24%,29%,24%,9%,11%,30%,34%,15%,11%,29%,24%,%,,
,,"Sorcellerie, charlatanisme",7%,17%,11%,15%,0%,7%,11%,6%,9%,17%,6%,10%,%,,
,,"Rumeurs (attaques, groupes armés…)",15%,27%,25%,21%,7%,12%,22%,35%,26%,20%,6%,22%,%,,
,,"Circulation d'armes, absence de DDR",20%,40%,45%,44%,14%,19%,42%,43%,26%,22%,28%,34%,%,,
,,"Pauvreté, chômage, manque de développement/ urbanisation",64%,61%,50%,58%,20%,43%,42%,30%,59%,65%,25%,46%,%,,
,,Autre,4%,4%,4%,5%,0%,3%,6%,5%,3%,0%,12%,5%,%,,
,,Ne sait pas,1%,0%,0%,0%,1%,1%,0%,0%,1%,0%,0%,0%,%,,
,,[Sans réponse],0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Mesures pour se sentir plus en sécurité (% répondants - réponses multiples),Plus de policiers centrafricains,18%,25%,25%,20%,32%,31%,24%,33%,28%,21%,11%,25%,%,,
,,Moins de policiers centrafricains,0%,2%,4%,1%,0%,1%,1%,1%,0%,0%,1%,1%,%,,
,,Plus de groupes d’autodéfense du quartier,19%,25%,16%,16%,15%,22%,13%,11%,20%,19%,25%,18%,%,,
,,Moins de groupes d’autodéfense du quartier,1%,3%,7%,2%,2%,4%,2%,1%,1%,0%,0%,2%,%,,
,,Plus de nettoyage du quartier,26%,28%,17%,22%,20%,33%,5%,23%,32%,34%,8%,22%,%,,
,,Moins d’attroupements de bandes au bord des routes,3%,5%,10%,3%,2%,1%,3%,9%,5%,4%,2%,5%,%,,
,,Plus d'éclairage public,46%,48%,33%,50%,42%,54%,38%,50%,57%,42%,24%,44%,%,,
,,Plus de patrouilles policières dans les quartiers,24%,41%,41%,40%,33%,30%,38%,48%,34%,33%,42%,38%,%,,
,,Avoir un poste de police dans le quartier,18%,27%,23%,23%,19%,24%,24%,24%,25%,15%,27%,23%,%,,
,,Plus de patrouilles des FACA,9%,20%,6%,7%,19%,15%,4%,11%,22%,14%,2%,11%,%,,
,,Plus de patrouilles de la MINUSCA,2%,5%,1%,1%,6%,4%,0%,1%,3%,6%,1%,2%,%,,
,,Plus de gendarmes nationaux,13%,23%,17%,16%,27%,19%,17%,33%,19%,15%,13%,20%,%,,
,,Moins de gendarmes nationaux,0%,0%,0%,1%,1%,1%,0%,2%,0%,0%,0%,1%,%,,
,,Créer un réseau d'alerte,6%,10%,11%,19%,13%,10%,15%,10%,7%,10%,12%,11%,%,,
,,Améliorer le réseau d'alerte,8%,9%,11%,8%,11%,7%,11%,3%,11%,5%,7%,8%,%,,
,,Désarmement (DDR),55%,64%,56%,64%,60%,52%,54%,65%,70%,54%,60%,60%,%,,
,,Arrêter/ éliminer les groupes armés,25%,35%,30%,26%,26%,28%,25%,35%,34%,22%,13%,28%,%,,
,,"Plus de communication, dialogue, cohésion sociale",47%,59%,46%,45%,25%,37%,45%,36%,48%,51%,37%,43%,%,,
,,"Plus de développement, emploi",54%,50%,39%,47%,30%,36%,38%,32%,43%,60%,26%,40%,%,,
,,Autre,4%,8%,6%,7%,2%,2%,5%,8%,3%,9%,16%,7%,%,,
,,Ne sait pas,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Sans réponse,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
ACTEURS DE SÉCURITÉ (GÉNÉRAL),Personnes ou groupes qui assurent principalement la sécurité dans ce quartier/village (% répondants),Personne,10%,12%,10%,7%,16%,12%,11%,9%,11%,7%,14%,11%,%,,
,,La police centrafricaine,10%,8%,4%,1%,7%,7%,4%,5%,10%,14%,5%,6%,%,,
,,La gendarmerie nationale,5%,7%,6%,2%,8%,1%,2%,5%,1%,7%,0%,3%,%,,
,,Les sociétés privées de gardiennage,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Les chefs de quartier,21%,22%,24%,38%,11%,23%,27%,25%,11%,24%,35%,25%,%,,
,,La police municipale,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Les groupes d’autodéfense,1%,3%,0%,1%,0%,8%,0%,1%,2%,0%,3%,2%,%,,
,,Les groupes armés,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Les FACA,4%,8%,6%,2%,14%,2%,3%,4%,3%,5%,5%,4%,%,,
,,La MINUSCA,0%,0%,0%,0%,3%,3%,0%,0%,0%,2%,0%,1%,%,,
,,Population elle-même,15%,15%,22%,22%,8%,17%,24%,18%,29%,15%,15%,20%,%,,
,,Dieu,31%,23%,25%,24%,21%,26%,28%,31%,32%,25%,23%,27%,%,,
,,Autre,0%,1%,1%,2%,0%,0%,0%,2%,0%,1%,0%,1%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
POLICE,Présence de la police pour assurer la sécurité dans le quartier/ village,OUI,42%,35%,32%,32%,38%,28%,40%,64%,39%,45%,38%,42%,%,,
,Contribution de la police à la sécurité dans votre quartier/ village,% Contribution positive,60%,48%,47%,42%,59%,57%,51%,50%,57%,60%,49%,52%,%,,
,Évolution du travail de la police dans les 12 derniers mois,% Amélioration,73%,63%,60%,59%,80%,64%,58%,73%,65%,74%,71%,66%,%,,
,Aidé par la police dans la dernière année,OUI,30%,23%,20%,18%,24%,24%,17%,19%,25%,25%,25%,22%,%,,
,Victime de mauvais traitement par la police dans la dernière année,OUI,4%,3%,5%,4%,1%,1%,2%,5%,5%,5%,3%,4%,%,,
GENDARMES,Présence de la gendarmerie pour assurer la sécurité dans le quartier/ village,OUI,39%,32%,28%,44%,45%,35%,40%,54%,37%,47%,33%,40%,%,,
,Contribution de la gendarmerie à la sécurité dans votre quartier/ village,% Contribution positive,63%,45%,45%,63%,65%,66%,60%,62%,59%,67%,47%,58%,%,,
,Évolution du travail de la gendarmerie dans les 12 derniers mois,% Amélioration,73%,65%,66%,76%,78%,71%,71%,86%,68%,77%,69%,73%,%,,
,Aidé par la gendarmerie dans la dernière année,OUI,27%,22%,11%,28%,21%,24%,15%,17%,24%,21%,24%,21%,%,,
,Victime de mauvais traitement par des gendarmes dans la dernière année,OUI,1%,2%,3%,2%,1%,1%,1%,0%,3%,2%,2%,2%,%,,
FACA,Présence des FACA pour assurer la sécurité dans le quartier/ village,OUI,30%,33%,33%,30%,30%,26%,35%,53%,33%,43%,33%,37%,%,,
,Contribution des FACA à la sécurité dans votre quartier/ village,% Contribution positive,68%,48%,50%,53%,54%,63%,57%,54%,76%,68%,50%,58%,%,,
,Évolution du travail des FACA dans les 12 derniers mois,% Amélioration,73%,58%,61%,65%,68%,63%,57%,75%,70%,73%,61%,66%,%,,
,Aidé par les FACA dans la dernière année,OUI,26%,26%,21%,26%,23%,27%,17%,24%,29%,29%,29%,25%,%,,
,Victime de mauvais traitement par les FACA dans la dernière année,OUI,1%,2%,4%,1%,1%,1%,2%,1%,5%,4%,1%,2%,%,,
MINUSCA,Présence de la MINUSCA pour assurer la sécurité dans le quartier/ village,OUI,12%,19%,10%,10%,29%,33%,21%,34%,17%,27%,16%,22%,%,,
,Contribution de la MINUSCA à la sécurité dans votre quartier/ village,% Contribution positive,30%,24%,19%,15%,23%,30%,14%,15%,22%,37%,16%,21%,%,,
,Évolution du travail de la MINUSCA dans les 12 derniers mois,% Amélioration,19%,25%,18%,14%,26%,27%,16%,26%,16%,31%,11%,20%,%,,
,Aidé par la MINUSCA dans la dernière année,OUI,13%,12%,8%,6%,17%,15%,6%,5%,8%,17%,5%,9%,%,,
,Victime de mauvais traitement par la MINUSCA dans la dernière année,OUI,1%,2%,4%,2%,4%,3%,3%,1%,2%,1%,5%,2%,%,,
CRIMES,Victime d'un vol/ cambriolage (12 derniers mois),Oui,45%,52%,39%,43%,24%,43%,38%,49%,45%,45%,34%,43%,%,,
,Se faire agresser physiquement sans arme (12 derniers mois),Oui,13%,23%,20%,20%,8%,12%,17%,21%,15%,22%,14%,18%,%,,
,Se faire agresser physiquement avec une arme (12 derniers mois),Oui,7%,24%,19%,17%,4%,9%,13%,24%,15%,18%,13%,16%,%,,
,Être forcé de payer des motivations (corruption) (12 derniers mois),Oui,10%,17%,19%,20%,10%,10%,14%,18%,13%,21%,10%,15%,%,,
,Être victime de sorcellerie (12 derniers mois),Oui,15%,20%,28%,24%,8%,9%,22%,27%,14%,19%,18%,20%,%,,
,Connaître quelqu'un victime de sorcellerie (12 derniers mois),Oui,19%,26%,28%,26%,12%,14%,26%,27%,22%,29%,22%,24%,%,,
,Connaître quelqu'un accusé de sorcellerie (12 derniers mois),Oui,18%,27%,31%,35%,13%,19%,21%,27%,22%,29%,20%,24%,%,,
,Etre accusé de sorcellerie (12 derniers mois),Oui,8%,10%,6%,9%,10%,8%,11%,6%,4%,7%,8%,8%,%,,
VIOLENCES LIÉES AUX CONFLITS,Témoin de violences liées aux conflits (général - 12 derniers mois) - (toutes les catégories),Oui,9%,30%,21%,25%,7%,5%,25%,19%,13%,19%,28%,19%,%,,
,Combats,Oui,3%,9%,6%,8%,2%,2%,10%,7%,5%,5%,6%,6%,%,,
,Aggressions physiques,Oui,5%,13%,13%,14%,5%,4%,13%,11%,9%,13%,10%,10%,%,,
,Viol,Oui,2%,6%,3%,2%,0%,2%,2%,5%,2%,8%,6%,4%,%,,
,Esclavage sexuel,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Prostitution forcée/ proxénétisme,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Grossesse forcée,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Stérilisation forcée,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Autre agression sexuelle,Oui,1%,3%,1%,0%,0%,0%,0%,3%,3%,6%,1%,2%,%,,
,"Vols, pillages",Oui,4%,22%,13%,18%,4%,4%,15%,12%,9%,15%,19%,13%,%,,
,Destruction des propriétés,Oui,3%,17%,7%,8%,1%,2%,14%,11%,6%,7%,11%,9%,%,,
,Meurtres,Oui,1%,15%,14%,12%,0%,1%,16%,11%,3%,8%,22%,11%,%,,
,Autre,Oui,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Victime de violences liés aux conflits (général - 12 derniers mois) (toutes les catégories),Oui,8%,26%,13%,21%,6%,6%,18%,16%,10%,19%,16%,15%,%,,
,Combats,Oui,3%,9%,4%,6%,0%,2%,7%,3%,4%,4%,3%,4%,%,,
,Aggressions physiques,Oui,6%,10%,7%,9%,5%,5%,7%,8%,7%,13%,5%,7%,%,,
,Viol,Oui,1%,8%,2%,5%,1%,2%,2%,4%,1%,9%,2%,3%,%,,
,Esclavage sexuel,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Prostitution forcée/ proxénétisme,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Grossesse forcée,Oui,0%,4%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Stérilisation forcée,Oui,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Autre agression sexuelle,Oui,3%,3%,0%,0%,0%,0%,1%,2%,2%,7%,1%,2%,%,,
,"Vols, pillages",Oui,6%,19%,8%,14%,5%,5%,13%,11%,6%,13%,12%,11%,%,,
,Destruction des propriétés,Oui,1%,13%,3%,8%,0%,2%,8%,9%,5%,5%,7%,6%,%,,
,Meurtres,Oui,0%,11%,5%,3%,0%,1%,5%,5%,3%,6%,4%,4%,%,,
,Autre,Oui,0%,1%,0%,0%,0%,0%,0%,3%,0%,0%,3%,1%,%,,
,Menacé de mort à cause des conflits (12 derniers mois),Oui,20%,39%,28%,39%,19%,17%,24%,29%,25%,30%,23%,27%,%,,
,Pensé que vous alliez mourir à cause des conflits (12 derniers mois),Oui,34%,55%,57%,60%,54%,43%,55%,59%,46%,45%,56%,52%,%,,
,Perdu des membres de votre ménage parce qu'ils ont été kidnappés ou ont disparu à cause des conflits (12 derniers mois),Oui,24%,31%,26%,26%,21%,24%,28%,51%,28%,30%,33%,32%,%,,
,Perdu des membres de votre ménage parce qu'ils ont été tués à cause des conflits (12 derniers mois),Oui,30%,59%,58%,65%,34%,31%,61%,66%,37%,44%,61%,53%,%,,
,"Personnellement été emprisonné, forcé de travailler, ou forcé de commettre des violences comme voler, tuer ou battre des personnes, par des groupes armés ou militaires (12 derniers mois)",Oui,88%,86%,85%,83%,91%,87%,88%,94%,82%,81%,91%,88%,%,,
VIOLENCES SEXUELLES,Perception générale sur les violences sexuelles et acteurs associés (% d'accord),"Les violences sexuelles doivent se résoudre dans les familles, sans les autorités",57%,65%,77%,71%,55%,52%,70%,73%,58%,60%,71%,66%,%,,
,,Les responsables de violence sexuelles sont généralement punis,90%,95%,98%,95%,89%,92%,94%,95%,93%,89%,85%,93%,%,,
,,Les policiers/ gendarmes sont punis de façon appropriée lorsqu'ils sont coupables de violences sexuelles,90%,91%,90%,86%,86%,89%,90%,97%,87%,88%,86%,90%,%,,
,,Les soldats FACA sont punis de façon appropriée lorsqu'ils sont coupables de violences sexuelles,88%,94%,94%,91%,86%,92%,93%,97%,89%,84%,83%,91%,%,,
,,Les soldats de la MINUSCA sont punis de façon appropriée lorsqu'ils sont coupables de violence sexuelles,89%,84%,87%,79%,82%,86%,81%,93%,84%,82%,72%,84%,%,,
,,Les victimes de violences sexuelles peuvent avoir leur cas jugés par les tribunaux,95%,94%,97%,90%,87%,93%,96%,97%,92%,86%,82%,93%,%,,
,,Les victimes des violences sexuelles peuvent avoir leur cas enquêtés par la police,83%,92%,96%,90%,85%,84%,93%,97%,83%,78%,91%,90%,%,,
,Forcé de marier quelqu'un contre votre volonté,Oui,10%,17%,20%,20%,7%,7%,17%,12%,11%,14%,7%,13%,%,,
,"Empêché d'avoir une activité ééconomique, destruction d'outils de travail ou refus d'accès à la terre",Oui,16%,27%,21%,36%,9%,11%,14%,27%,15%,29%,14%,20%,%,,
,"Victime de violences morales, psychologiques ou affectives",Oui,40%,53%,41%,57%,41%,33%,42%,50%,41%,60%,45%,46%,%,,
